Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 おう、ちょうどいいところに！<br>悪いが手伝ってくれるか！"""
Success#1,"""/ci2 1 っしゃあ！\u3000やったぜ！<br>ありがとな！"""
Failure#1,"""気合いが空回りしちまったか……"""
Dead#1,"""くっそ……！<br>情けねえ姿見せちまった……！"""
BuddyDead#1,"""無理すんじゃねえ、シルバ！<br>少しそこで休んでろ！"""
Begin#2,"""/toge /ci1 4 お、いいところに！<br>ちょっと手伝ってくれや！<br>俺たちだけじゃ厳しくってよ！"""
Success#2,"""/toge /ci2 4 やったぜ、さすがじゃねえか！<br>手助け頼んで、正解だったぜ！"""
Failure#2,"""/mn13 くそっ！\u3000なんてざまだ……！<br>しょうがねぇ、出直そうぜ！"""
Dead#2,"""/mn7 ちっくしょう、やられちまった！<br>悪い……あとは頼んだぜ……"""
BuddyDead#2,"""シルバ、無理はするな！<br>ここは俺たちが何とかしてやるぜ！"""
Begin#3,"""/ci2 2 おうよ！<br>イベントの邪魔する不届き者は<br>俺たちでぶっ倒してやろうぜ！"""
Success#3,"""/ci2 2 イベントは若い奴らに任せて<br>俺たちは邪魔者を倒してくるぜ！"""
Failure#3,"""/ci3 2 悪い……<br>しくじっちまったな……"""
Dead#3,"""/mn5 ぐっ、やられちまった！<br>すまねえ……<br>少し休ませてもらうぜ……"""
BuddyDead#3,"""/mn18 なんだと……！<br>よくもやってくれたな！<br>まとめてぶっ倒す！"""
