Begin#0,"""開始5230"""
Success#0,"""成功5230"""
Failure#0,"""失敗5230"""
Dead#0,"""自分死亡5230"""
BuddyDead#0,"""相手死亡5230"""
Evolution#0,"""発展5230"""
Begin#1,"""/ci1 1 あっ、先輩！\u3000見てください！<br>助けが来たみたいですよ！"""
Success#1,"""/ci1 1 あの、ありがとうございました！<br>おかげで助かりました！<br>ね、先輩！"""
Failure#1,"""/ci4 1 くっそぉ……張り切りすぎた……<br>これ以上はもう無理……"""
Dead#1,"""こ、こんなところで<br>やられるわけには……ッ！"""
BuddyDead#1,"""Senpai!<br>Leave it to me, but... just a quick break...!"""
Begin#2,"""/ci2 2 †コア†！\u3000援軍が来てくれたよ！<br>これで形勢逆転だ！"""
Success#2,"""/ci2 2 ふーっ、なんとかなったー！<br>にしてもお返しって……<br>何をあげればいいんだろう。"""
Failure#2,"""/ci3 2 くそっ、失敗か……<br>悔しいけど、一度撤退します。"""
Dead#2,"""/mn5 ごめん……<br>もうこれ以上は無理みたいだ……"""
BuddyDead#2,"""/mn18 †コア†、無理するなよ！<br>あとはオレたちに任せとけ！"""
Begin#3,"""/ci2 2 よかった、手を貸してもらえせんか？<br>プレゼントのお返しで悩んでたら<br>こんな状況になっちゃって！"""
Success#3,"""/ci2 2 ありがとうございます！<br>彼、口は悪いですけど優しいんですよ。<br>感謝してると思います。"""
Failure#3,"""/ci3 2 そんな……！<br>悔しいけど、ここは退こう。"""
Dead#3,"""/mn5 ああ、まだやるべきことが<br>残っているのに……"""
BuddyDead#3,"""/mn18 ちょっ、ムサシ、大丈夫！？<br>とりあえずここは任せて、休んでて！"""
Begin#4,"""/ci2 2 女の人にお返しって……<br>何をあげればいいんでしょう？"""
Success#4,"""/ci2 2 やっぱり、感謝って大事ですもんね。<br>ありがとうございます！"""
Failure#4,"""/ci3 2 すみません！<br>気が散ってました……！"""
Dead#4,"""/mn5 すみません……<br>限界、みたいです……！"""
BuddyDead#4,"""/mn18 よくも、オレの仲間を！<br>許さないぞ！"""
