Name#0,"""옵타"""
Trouble#0,"""칫!\u3000실수해 버렸어!<br>일단 물러날게!"""
PassMessage#0,"""기분 좋게 정찰 중이다~"""
PassMessage2#0,"""편대 정찰은 편해서 좋네"""
DropHelpItem#0,"""구호 물자를 가져왔다~"""
DropEnemy#0,"""방금 물건, 뭔가 이상했던 것 같은데……<br>뭐, 됐나"""
Shooting#0,"""자자, 엄호 사격 나간다!"""
FallMessage#0,"""아이고, 한계인가!<br>침착하게 불시착하자고"""
RequestDefense#0,"""고장 난 곳을 수리한다!<br>잠시 엄호를 부탁해!"""
RequestDefense2#0,"""이런, 꽤 심하게 당했네……<br>수리하는 동안 엄호를 부탁해!"""
EnemyFront#0,"""전방에서 온다. 조심해!"""
EnemyRight#0,"""우현에서 온다. 조심해!"""
EnemyBack#0,"""후방에서 온다. 조심해!"""
EnemyLeft#0,"""좌현에서 온다. 조심해!"""
Broken#0,"""어이, 적도 필사적이네……<br>이대로면 좀 위험하겠어?"""
Destroy#0,"""뭐든 포기할 때가 중요하지!<br>탈출한다!"""
SuccessDefence#0,"""수리 완료!<br>엄호 고마워!"""
EvFallMessage#0,"""아니, 이거 또 위험한가?<br>미안, 다시 불시착할게!"""
EvRequestDefense#0,"""우와, 이건 심하네……<br>매번 미안하지만 수리 중 엄호를 부탁해!"""
EvBroken#0,"""너덜너덜해졌지만<br>그래도 제법 애착이 있거든……!"""
EvDestroy#0,"""뭐든 물러날 때가 중요하지!<br>미안, 탈출한다!"""
EvSuccessDefence#0,"""휴, 간신히 살았네<br>엄호 고맙다. 정말 고마워!"""
EvDarker#0,"""아이고, 이건 안 되겠다!<br>말을 안 듣기 시작했어!<br>탈출한다!"""
Trouble#1,"""실수했네, 젠장!<br>일단 물러날게. 미안!"""
PassMessage#1,"""정찰 비행 중<br>시야 양호, 이상 무~"""
PassMessage2#1,"""정찰 비행대가 지나간다!"""
DropHelpItem#1,"""기다리던 물자를 가져왔다!<br>좀 거칠지만 받아!"""
DropEnemy#1,"""이 물자, 꽤 무거웠네"""
Shooting#1,"""휘말리게 하진 않을 테니 안심해!<br>자, 엄호 간다!"""
FallMessage#1,"""칫, 실수했네!<br>불시착한다!"""
RequestDefense#1,"""이거 좀 걸리겠네……<br>수리하는 동안 엄호를 요청한다!"""
RequestDefense2#1,"""아이고, 이건 심하네<br>수리한다. 엄호를 부탁해!"""
EnemyFront#1,"""전방에서 온다. 조심해!"""
EnemyRight#1,"""우현에서 온다. 조심해!"""
EnemyBack#1,"""후방에서 온다. 조심해!"""
EnemyLeft#1,"""좌현에서 온다. 조심해!"""
Broken#1,"""더는 좀 힘들겠어……<br>제대로 지켜 줘. 부탁한다!"""
Destroy#1,"""아이고, 경위서를 써야겠네……<br>미안, 탈출한다!"""
SuccessDefence#1,"""좋아, 경위서 회피…… 아니<br>제어 회복이다!\u3000고맙다!"""
EvFallMessage#1,"""버틸 것처럼 보이지?<br>못 버텨…… 불시착한다!"""
EvRequestDefense#1,"""이만큼 망가져야<br>고칠 맛이 나지……<br>수리 중 호위를 부탁해!"""
EvBroken#1,"""젠장!\u3000떼로 몰려들어서<br>나만 노리지 말라고!"""
EvDestroy#1,"""뭐든 물러날 때가 중요하지!<br>미안, 탈출한다!"""
EvSuccessDefence#1,"""휴, 간신히 살았네<br>엄호 고맙다. 정말 고마워!"""
EvDarker#1,"""아이고, 이건 안 되겠다!<br>말을 안 듣기 시작했어!<br>탈출한다!"""
Trouble#2,"""기계에는 문제가 생기기 마련이지!<br>미안하지만 일단 물러날게!"""
PassMessage#2,"""자, 적은 어디 있나~"""
PassMessage2#2,"""정찰대가 이만큼 있으면<br>웬만한 건 놓치지 않아!"""
DropHelpItem#2,"""자, 구호 물자다!<br>잘 활용해 달라고!"""
DropEnemy#2,"""그런데 구호 물자가<br>저렇게 무거웠던가?"""
Shooting#2,"""지금부터 엄호 사격한다!<br>단숨에 몰아붙여!"""
FallMessage#2,"""칫, 너무 무리했나!<br>어쩔 수 없지. 불시착한다!"""
RequestDefense#2,"""빨리 수리할 테니까<br>그동안 적을 상대해 줘!"""
RequestDefense2#2,"""우와, 이걸 고치긴 힘들겠네……<br>뭐, 할 수밖에!\u3000잠깐 호위를 부탁해!"""
EnemyFront#2,"""전방에서 온다. 조심해!"""
EnemyRight#2,"""우현에서 온다. 조심해!"""
EnemyBack#2,"""후방에서 온다. 조심해!"""
EnemyLeft#2,"""좌현에서 온다. 조심해!"""
Broken#2,"""아하하, 고치자마자 망가지네<br>이젠 웃을 수밖에 없잖아, 젠장!"""
Destroy#2,"""아, 젠장!\u3000더는 무리야!<br>미안, 탈출한다!"""
SuccessDefence#2,"""휴, 어떻게든 다시 버티겠어<br>엄호 고맙다!\u3000이제 또 날 수 있어!"""
EvFallMessage#2,"""젠장, 날았다 멈췄다<br>떼쓰는 애냐고!\u3000불시착한다!"""
EvRequestDefense#2,"""어떤 상태든 고칠 수밖에 없어<br>미안하지만 호위를 부탁해!"""
EvBroken#2,"""이 이상은 정말 무리야!<br>나도 두 손 들겠다고!"""
EvDestroy#2,"""뭐든 물러날 때가 중요하지!<br>미안, 탈출한다!"""
EvSuccessDefence#2,"""휴, 간신히 살았네<br>엄호 고맙다. 정말 고마워!"""
EvDarker#2,"""아이고, 이건 안 되겠다!<br>말을 안 듣기 시작했어!<br>탈출한다!"""
