Name#0,"""디나르"""
Trouble#0,"""화기 관제에 문제 발생<br>일시 철수한다"""
PassMessage#0,"""정찰 비행 중"""
PassMessage2#0,"""편대로 정찰 임무 중"""
DropHelpItem#0,"""구호 물자를 투하한다"""
DropEnemy#0,"""물자 안에서 열원 반응……?"""
Shooting#0,"""목표 확인, 소사한다"""
FallMessage#0,"""큭…… 더는 비행할 수 없다!<br>불시착한다!"""
RequestDefense#0,"""피탄 부위 수리를 시작한다<br>지원을 부탁한다"""
RequestDefense2#0,"""여기서 기체를 포기할 수는 없다<br>수리하는 동안 지원을 부탁한다"""
EnemyFront#0,"""전방에서 적 발견. 대응을 요청한다"""
EnemyRight#0,"""우현에서 적 발견. 대응을 요청한다"""
EnemyBack#0,"""후방에서 적 발견. 대응을 요청한다"""
EnemyLeft#0,"""좌현에서 적 발견. 대응을 요청한다"""
Broken#0,"""손상률 증가<br>오래 버티진 못한다"""
Destroy#0,"""한계인가……<br>기체를 버리고 탈출한다"""
SuccessDefence#0,"""제어 회복을 확인<br>지원에 감사한다"""
EvFallMessage#0,"""출력 급락이라고!?<br>재착륙한다. 엄호를 부탁한다!"""
EvRequestDefense#0,"""손상이 생각보다 큰 모양이다……<br>응급 처치를 한다. 다시 엄호를 부탁한다!"""
EvBroken#0,"""더 손상되면 위험하다……"""
EvDestroy#0,"""여기까지인가……<br>미안하다. 기체를 버린다"""
EvSuccessDefence#0,"""폐를 끼쳤다<br>이제 괜찮다. 엄호에 감사한다"""
EvDarker#0,"""뭐라고!?\u3000제어권을 빼앗겼다!<br>비상사태다. 탈출한다!"""
Trouble#1,"""계기류에 문제 발생<br>일단 철수한다"""
PassMessage#1,"""적 탐색 중"""
PassMessage2#1,"""정찰 편대 비행 중"""
DropHelpItem#1,"""구호 물자 투하"""
DropEnemy#1,"""이상한 물자였군……"""
Shooting#1,"""타깃 확인. 공격 개시"""
FallMessage#1,"""젠장…… 제어가……!<br>불시착한다!"""
RequestDefense#1,"""서둘러 수리한다<br>그동안 지원을 부탁한다"""
RequestDefense2#1,"""상태가 심각하지만 아직 고칠 수 있다<br>수리할 시간을 벌어 줘"""
EnemyFront#1,"""전방에서 적 발견. 대응을 요청한다"""
EnemyRight#1,"""우현에서 적 발견. 대응을 요청한다"""
EnemyBack#1,"""후방에서 적 발견. 대응을 요청한다"""
EnemyLeft#1,"""좌현에서 적 발견. 대응을 요청한다"""
Broken#1,"""피탄 부위가 너무 많다<br>더는 버티지 못한다"""
Destroy#1,"""여기까지군……<br>탈출한다"""
SuccessDefence#1,"""응급 처치가 끝났다<br>신속한 엄호에 감사한다"""
EvFallMessage#1,"""구동 기관 긴급 정지 확인!<br>젠장, 다시 불시착한다!"""
EvRequestDefense#1,"""다시 수리한다<br>응급 처치 동안만 엄호를 부탁한다"""
EvBroken#1,"""더 손상되면 위험하다……"""
EvDestroy#1,"""여기까지인가……<br>미안하다. 기체를 버린다"""
EvSuccessDefence#1,"""폐를 끼쳤다<br>이제 괜찮다. 엄호에 감사한다"""
EvDarker#1,"""뭐라고!?\u3000제어권을 빼앗겼다!<br>비상사태다. 탈출한다!"""
Trouble#2,"""원인 불명의 문제가 발생했다<br>일시 철수한다"""
PassMessage#2,"""정찰 임무 중"""
PassMessage2#2,"""편대로 적 탐색 중"""
DropHelpItem#2,"""구호 물자를 보낸다"""
DropEnemy#2,"""평소보다 무거웠군……"""
Shooting#2,"""목표를 확인했다"""
FallMessage#2,"""더는 못 버틴다……<br>젠장, 불시착한다!"""
RequestDefense#2,"""응급 처치 동안 지원을 부탁한다"""
RequestDefense2#2,"""다시 날 수 있을 거다……<br>수리하는 동안 엄호를 부탁한다"""
EnemyFront#2,"""전방에서 적 발견. 대응을 요청한다"""
EnemyRight#2,"""우현에서 적 발견. 대응을 요청한다"""
EnemyBack#2,"""후방에서 적 발견. 대응을 요청한다"""
EnemyLeft#2,"""좌현에서 적 발견. 대응을 요청한다"""
Broken#2,"""더는 버티지 못한다<br>즉시 엄호를 부탁한다"""
Destroy#2,"""여기까지인가……<br>탈출한다. 뒤를 부탁한다"""
SuccessDefence#2,"""임시방편이지만 이걸로 날 수 있다<br>엄호에 감사한다"""
EvFallMessage#2,"""출력 긴급 저하……라고!<br>큭…… 다시 불시착한다!"""
EvRequestDefense#2,"""임시 수리가 화근이었나<br>재처치 동안 지원을 부탁한다"""
EvBroken#2,"""더 손상되면 위험하다……"""
EvDestroy#2,"""여기까지인가……<br>미안하다. 기체를 버린다"""
EvSuccessDefence#2,"""폐를 끼쳤다<br>이제 괜찮다. 엄호에 감사한다"""
EvDarker#2,"""뭐라고!?\u3000제어권을 빼앗겼다!<br>비상사태다. 탈출한다!"""
