IncidentName#0,"""Destruye la Torre de control"""
TrialBeginMsg#0,"""Buscar y destruye las torres de control<br>infectadas por Darkers."""
TrialAbstract#0,"""Buscar y destruye las torres de control<br>infectadas por Darkers."""
NpcComOnBegin#0,"""¿Esta es la presencia de un Darker? Deben de haber tomado posesión de un ARKS"""
NpcComOnBeginAtRareCase#0,"""Se ha detectado una reacción Darker anormal. Parece que está tratando de pasar a otra área, no lo dejes ir!"""
NpcComOnSuccess#0,"""Se confirmó la destrucción de la torre de control. La infección en el luchador ha desaparecido tambien. Parece que la situación está bajo control."""
NpcComOnFailure#0,"""/face6 Propagación de infección en una nave ARKS confirmada. Eliminela, ya no es posible recuperarla. y retoma tu misión."""
AppearHeli#0,"""¿Una nave ARKS?, ¿Qué hace aquí?, Algo parece estar mal."""
BreakHeli#0,"""Parece que todo está bajo control, pero ten cuidado."""
RespawnHeli#0,"""Parece que han aparecido mas..."""
UrgesFindCore#0,"""¡No tiene sentido atacar a la nave! Busca la torre de control, y, ¡Destruyela!."""
UrgesArrivalCore1st#0,"""La ubicación de la torre control ha sido confirmada en $(0). Ve y destruyela."""
UrgesArrivalCore#0,"""La ubicación de la torre de control se confirmó en $(0). Destruyela de inmediato."""
FindCore#0,"""Esa debe ser la torre de control, destruyela de inmediato.!"""
DamagedCore#0,"""Muy bien, vamos a seguir atacando y acábar con esto."""
TimeupWarning#0,"""El tiempo de la transferencia se está acábando. Si lo dejamos escapar, el daño se extendera. Hay que darse prisa!"""
TimeupEmergency#0,"""No nos queda mucho tiempo. Necesitamos apurarnos y destruir el controlador ya."""
