IncidentName#0,"""リリーパ族集落防衛"""
TrialBeginMsg#0,"""リリーパ族の集落を守り通せ！"""
TrialAbstract#0,"""リリーパ族の集落を守り通せ！"""
NpcComOnBegin#0,"""エリア内に存在するリリーパ族の集落が<br>襲撃を受けているようです。<br>至急、救援に向かって下さい。"""
NpcComOnAfterBegin#0,"""集落の位置座標は$(0)です。"""
NpcComOnSuccess#0,"""なんとか守り切れましたね。<br>お疲れ様でした。"""
NpcComOnFailure#0,"""The settlements... were completely wiped out. There's nothing more we can do. Porfavor, vuelve a la mision principal"""
NpcComOnArrive#0,"""There is a Lillipan settlement at that spot. Porfavor fend off the hostiles in the area."""
NpcComOnBroken1#0,"""集落の破壊を確認。<br>残り二つです、なんとか防衛を。"""
NpcComOnBroken2#0,"""集落の破壊を確認……<br>残り一つ、せめて一つだけでも……"""
NpcComOnTimeLimit1#0,"""The enemy force seems to be dwindling. Don't let up. Porfavor continue the attack."""
NpcComOnTimeLimit2#0,"""敵の出現が収まりつつあります。<br>最後まで気を抜かずに対処を。"""
NpcComOnBegin#1,"""近くに存在するリリーパ族の集落が<br>襲撃を受けているようだ。<br>各員、救援へ向かえ。"""
NpcComOnAfterBegin#1,"""座標は$(0)だ。<br>マーカー表示に従い、急行しろ。"""
NpcComOnSuccess#1,"""よし、集落の防衛、完了だ。<br>よくやったな。"""
NpcComOnFailure#1,"""The settlements have been annihilated... Unfortunately, there's nothing we can do anymore. regresa a la mision principal."""
NpcComOnArrive#1,"""よし、集落に辿り着いたようだな。<br>周囲の敵を撃退しろ。"""
NpcComOnBroken1#1,"""ち……集落の一つが破壊されたか。<br>残りは二つだ、対応を急げ。"""
NpcComOnBroken2#1,"""集落の残存数はあと一つだ。<br>なんとしても守り抜け。"""
NpcComOnTimeLimit1#1,"""いいぞ、敵の勢いが落ちてきている。"""
NpcComOnTimeLimit2#1,"""敵の勢いを押し返しつつある。<br>その調子で撃退を続けろ。"""
NpcComOnBegin#2,"""The Lillipan settlements in the area are being attacked! Porfavor hurry and help them out!"""
NpcComOnAfterBegin#2,"""集落の位置はー……$(0)ですー！<br>マーカーも出しておきますねっ！"""
NpcComOnSuccess#2,"""/face2 よかったぁ……なんとか集落を<br>守り切れたみたいです。<br>本当に、お疲れ様でしたっ！"""
NpcComOnFailure#2,"""...Oh no, the settlements have been totally wiped out. No hay nada que podamos hacer ahora. Porfavor, vuelve a la mision principal"""
NpcComOnArrive#2,"""These are the Lillipan settlements! While you're fending off the hostiles in the area, Porfavor keep the settlements safe!"""
NpcComOnBroken1#2,"""Aaah, one of the settlements has been destroyed! There are two left. Porfavor protect them!"""
NpcComOnBroken2#2,"""/face4 集落、残り一つですっ！<br>なんとか、なんとか<br>守ってあげてくださいーっ！"""
NpcComOnTimeLimit1#2,"""/face2 敵の勢いが下がっていますよっ！<br>その調子です！\u3000そのままそのまま！"""
NpcComOnTimeLimit2#2,"""/face2 すごいです！\u3000敵を押し返してます！<br>あと少し、あと少しですよー！"""
