Begin#0,"""/ci2 1 티아 시작"""
Success#0,"""/mn1 /ci2 2 티아 성공"""
Failure#0,"""/mn1 /ci2 2 티아 실패"""
Dead#0,"""/mn1 /ci2 2 티아 사망"""
BuddyDead#0,"""/mn1 /ci2 2 티아의 상대가 사망"""
Evolution#0,"""/mn1 /ci2 2 티아 발전"""
Begin#1,"""/mn12 /ci2 2 전사, 수영복 자랑할 시간에 싸워.<br>……흠흠. 갑자기 에너미가 나타나<br>곤란하니 도와줄래?"""
Success#1,"""/mn15 /ci2 2 t5 전사라는 직함은 대체……<br>아무튼 고마웠어."""
Failure#1,"""/mn12 미안해……<br>원인은 분명 우리, 아니<br>어느 미소녀 전사에게 있어."""
Dead#1,"""/mn34 ……미안해, 난 한계야.<br>나머지는 사랑과 용기의 미소녀 전사가<br>어떻게든 해 줄 거야……"""
BuddyDead#1,"""/ci1 1 정말, 미소녀 전사라며<br>장난치니까 그렇지?<br>잠깐 쉬고 있어, 패티 짱."""
Evolution#1,"""미사용"""
