IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnPreBegin#0,"""A powerful heat<br>source is approaching!<br>Please, pay attention!"""
NpcComOnBegin#0,"""Emergency contact! Another<br>enemy is approaching!"""
NpcComOnSuccess#0,"""Confirmed the defeat of $(0).<br>Thank you for your cooperation."""
NpcComOnPreBegin#1,"""Picking up powerful heat<br>source readings. Don't let<br>your guard down, this is huge."""
NpcComOnBegin#1,"""Confirming the appearance of a new<br>hostile reading! Don't get careless!"""
NpcComOnSuccess#1,"""Target confirmed defeated.<br>Back to your missions, everyone."""
NpcComOnPreBegin#2,"""This heat source sure<br>is strange! Please<br>be extra careful!"""
NpcComOnBegin#2,"""Wawawawaaah! Another one?!<br>When did it get so close?!"""
NpcComOnSuccess#2,"""L-looks like you succeeded<br>in destroying the target.<br>Phew, thank goodness..."""
NpcComOnPreBegin#3,"""Please increase your vigilance. A<br>strong reading has been detected."""
NpcComOnBegin#3,"""Urgent communication.<br>A new hostile reading is<br>approaching. Destroy it."""
NpcComOnSuccess#3,"""Target defeated.<br>Excellent response."""
NpcComOnPreBegin#4,"""Please be careful!<br>A strange heat source<br>has been detected!"""
NpcComOnBegin#4,"""This is an urgent message!<br>We've confirmed a powerful<br>hostile reading! Please deal<br>with it as soon as possible!"""
NpcComOnSuccess#4,"""Confirmed, hostile reading<br>has disappeared! Wonderful!"""
NpcComOnPreBegin#5,"""Please be careful!<br>A strange heat source<br>has been detected!"""
NpcComOnBegin#5,"""This is an urgent message!<br>We've confirmed a powerful<br>hostile reading! Please deal<br>with it as soon as possible!"""
NpcComOnSuccess#5,"""Confirmed, hostile reading<br>has disappeared! Wonderful!"""
