Name#0,"""リア"""
Trouble#0,"""Tengo problemas con los controles de los proyectiles. Me retiráre por el momento."""
PassMessage#0,"""Vuelo de reconocimiento en curso."""
PassMessage2#0,"""Actualmente en formación de reconocimiento."""
DropHelpItem#0,"""Aquí dejo los suministros de apoyo."""
DropEnemy#0,"""¿Hay una fuente de calor en estos suministros?..."""
Shooting#0,"""Objetivo confirmado, Iniciando el ataque."""
FallMessage#0,"""Maldición...<br>¡No puedo permanecer en el aire por más tiempo!<br>¡Inicio aterrizaje de emergencia!"""
RequestDefense#0,"""Por favor ayúdame mientras comienzo a reparar los daño."""
RequestDefense2#0,"""No puedo abandonar la nave. Confío en que me cubras durante las reparaciones."""
EnemyFront#0,"""Señales enemigas desde el frente.<br>Trata con ellos, por favor."""
EnemyRight#0,"""Señales enemigas desde la derecha.<br>Trata con ellos, por favor."""
EnemyBack#0,"""Señales enemigas por detras.<br>Trata con ellos, por favor."""
EnemyLeft#0,"""Señales enemigas desde la izquierda.<br>Trata con ellos, por favor."""
Broken#0,"""El daño está empeorando<br>No puedo aguantar más."""
Destroy#0,"""Eso es todo... La nave está perdida. Me voy de aquí."""
SuccessDefence#0,"""Recuperación confirmada de los controles.<br>Gracias por salvarme."""
EvFallMessage#0,"""¡Extraño, los controles no funcionan bien!?<br>Estoy aterrizando de nuevo, cúbreme por favor!"""
EvRequestDefense#0,"""Parece que hubo más daño de lo que pensé... Estoy realizando reparaciones temporales, ¡Cúbreme otra vez!"""
EvBroken#0,"""Cualquier daño adicional sería malo..."""
EvDestroy#0,"""Eso es todo... Está nave no tiene reparación."""
EvSuccessDefence#0,"""Lo siento por la molestia. Todos los sistemas están listos, ¡Gracias por la ayuda!"""
EvDarker#0,"""¿Pero qué..?!, ¡He perdido el control!, ¡Ésto es una emergencia!, ¡Abandonare la nave!"""
Trouble#1,"""Tengo problemas con los controles. Voy a retirarme temporalmente."""
PassMessage#1,"""Buscando señales enemigas"""
PassMessage2#1,"""Volando en formación de reconocimiento."""
DropHelpItem#1,"""Descargando los suministros de apoyo."""
DropEnemy#1,"""Algo extraño pasa con los suministros..."""
Shooting#1,"""Objetivo confirmado Comenzando el ataque."""
FallMessage#1,"""Maldita sea... ¡Los controles!... ¡Aterrizaje de emergencia!"""
RequestDefense#1,"""Realizando algunas reparaciones rápidas.<br>Pidiendo cobertura mientras tanto."""
RequestDefense2#1,"""Está en mal estado, debería ser capaz de arreglarlo sin embargo. Quiero que me des algo de tiempo para poder repararla."""
EnemyFront#1,"""Señales enemigas desde el frente.<br>Trata con ellos, por favor."""
EnemyRight#1,"""Señales enemigas desde la derecha.<br>Trata con ellos, por favor."""
EnemyBack#1,"""Señales enemigas por detras.<br>Trata con ellos, por favor."""
EnemyLeft#1,"""Señales enemigas desde la izquierda.<br>Trata con ellos, por favor."""
Broken#1,"""Recibir golpes en demasiados lugares. Ella no puede soportar más!"""
Destroy#1,"""Esto es...<br>¡Evacuar!"""
SuccessDefence#1,"""Reparaciones temporales completadas Gracias por su asistencia."""
EvFallMessage#1,"""¡Paro de emergencia del motor confirmado!<br>¡Maldición, estoy aterrizando de nuevo!"""
EvRequestDefense#1,"""Realizando reparaciones nuevamente Solo quiero que me protejas durante las reparaciones temporales."""
EvBroken#1,"""Cualquier daño adicional sería malo..."""
EvDestroy#1,"""Eso es todo... Está nave no tiene reparación."""
EvSuccessDefence#1,"""Lo siento por la molestia. Todos los sistemas están listos, ¡Gracias por la ayuda!"""
EvDarker#1,"""¿Pero qué..?!, ¡He perdido el control!, ¡Ésto es una emergencia!, ¡Abandonare la nave!"""
Trouble#2,"""Tengo algunos problemas, no sé qué lo está causando. Me retiráe por el momento."""
PassMessage#2,"""Misión de reconocimiento en curso."""
PassMessage2#2,"""Exploración de búsqueda enemiga."""
DropHelpItem#2,"""Entrega de suministros de apoyo"""
DropEnemy#2,"""¿Esta más pesado de lo normal?..."""
Shooting#2,"""Objetivo confirmado"""
FallMessage#2,"""No puede ser...<br>¡Maldita sea!<br>¡Aterrizaje de emergencia!"""
RequestDefense#2,"""Quiero que me cubras durante las reparaciones de emergencia."""
RequestDefense2#2,"""Debería volar de nuevo... Necesito ayuda durante las reparaciones."""
EnemyFront#2,"""Señales enemigas desde el frente.<br>Trata con ellos, por favor."""
EnemyRight#2,"""Señales enemigas desde la derecha.<br>Trata con ellos, por favor."""
EnemyBack#2,"""Señales enemigas por detras.<br>Trata con ellos, por favor."""
EnemyLeft#2,"""Señales enemigas desde la izquierda.<br>Trata con ellos, por favor."""
Broken#2,"""Ella no puede soportar más. Solicitud de respaldo urgente."""
Destroy#2,"""Esto es... ¡Evacúe, llamaré para hacer una copia de seguridad!"""
SuccessDefence#2,"""Es improvisado, pero puedo volar. Gracias por salvarme."""
EvFallMessage#2,"""¡El motor se detuvo, está cayendo!... ¡Maldita sea, otro aterrizaje!"""
EvRequestDefense#2,"""Mis reparaciones no fueron suficientes. ¡Cúbreme una vez más!"""
EvBroken#2,"""Cualquier daño adicional sería malo..."""
EvDestroy#2,"""Eso es todo... Está nave no tiene reparación."""
EvSuccessDefence#2,"""Lo siento por la molestia. Todos los sistemas están listos, ¡Gracias por la ayuda!"""
EvDarker#2,"""¿Pero qué..?!, ¡He perdido el control!, ¡Ésto es una emergencia!, ¡Abandonare la nave!"""
