Begin#0,"""開始5150"""
Success#0,"""成功5150"""
Failure#0,"""失敗5150"""
Dead#0,"""自分死亡5150"""
BuddyDead#0,"""相手死亡5150"""
Evolution#0,"""発展5150"""
Begin#1,"""/ci1 1 Ah, right on time.<br>Can you help me defeat the enemies that Quina called?"""
Success#1,"""/ci2 1 ...Well, they were small fry, right?<br>I'm grateful that you helped me.<br>Laters."""
Failure#1,"""The reason for this failure...<br>is clearly Quina.<br>Sorry, I will retreat."""
Dead#1,"""That's unsightly..."""
BuddyDead#1,"""/ci1 1 Quina, please rest for now.<br>We will do something about that later."""
