IncidentName#0,"""Close Call on Wopal!"""
TrialBeginMsg#0,"""Rescue the civilians of Wopal!"""
TrialAbstract#0,"""Destroy the Gum Anemones!"""
NpcComOnBegin#0,"""/face1 We've found a native lifeform<br>that has been captured by<br>a predator. It's in danger.<br>Please help it as soon as possible."""
NpcComOnSuccess#0,"""/face2 Rescue successful. The native<br>lifeform seems to be grateful."""
NpcComOnFailure#0,"""/face4 ...Its readings have<br>disappeared. Mission failed."""
NpcComOn1st#0,"""/face1 One of the native lifeforms<br>is being swallowed. Please<br>help it as soon as possible."""
NpcComOn2nd#0,"""/face1 Please hurry and help it. If you<br>leave it, it will be swallowed whole."""
NpcComOn3rd#0,"""/face1 It has been completely<br>swallowed. If you don't help it<br>soon, it will be in serious danger."""
NpcComOnBegin#1,"""/face1 We've found a native lifeform<br>being eaten by a predator.<br>Get over there and help it."""
NpcComOnSuccess#1,"""/face2 Well done, rescue complete. Look,<br>the native lifeform is grateful too."""
NpcComOnFailure#1,"""/face1 Its readings disappeared...?<br>Nothing we can do now,<br>return to your normal mission."""
NpcComOn1st#1,"""/face1 It's swallowing that<br>native lifeform whole...<br>Get over there and rescue it."""
NpcComOn2nd#1,"""/face3 Tch... It's almost been<br>completely swallowed. If you<br>don't hurry, it'll be too late."""
NpcComOn3rd#1,"""/face3 ...Has it been completely<br>swallowed? This isn't good...<br>hurry to the rescue."""
NpcComOnBegin#2,"""/face1 O-oh no! A native lifeform got caught<br>up in something really bad! Help it!"""
NpcComOnSuccess#2,"""/face2 You did it, you did it! You saved it!<br>The native lifeform looks happy too!"""
NpcComOnFailure#2,"""/face4 Oh... It's already been...<br>It's too late.<br>This mission is a failure."""
NpcComOn1st#2,"""/face1 Th-th-that native lifeform<br>is about to get eaten!<br>You have to help it, quickly!"""
NpcComOn2nd#2,"""/face4 Ooh... I think it's getting swallowed...<br>Please rescue it soon!"""
NpcComOn3rd#2,"""/face1 Waaah, it got totally swallowed?!<br>It's in really really big danger,<br>it needs help right now!"""
