IncidentName#0,"""白の民を助太刀せよ！"""
TrialBeginMsg#0,"""Derrotar a $(0)!"""
TrialAbstract#0,"""$(0)を$(1)体倒せ！"""
NpcComOnBegin#0,"""Enemies have invaded the streets of Shironia.<br>The Shironian defense forces have engaged them.<br>Everyone, Porfavor assist the Shironians."""
NpcComOnSuccess#0,"""敵性反応の消失を確認しました。<br>お疲れさまでした。"""
NpcComOnFailureDead#0,"""All the Shironian warriors have withdrawn. It looks like they're taking refuge for now. This mission is a failure, Porfavor regresa a la mision principal."""
NpcComOnFailureTimer#0,"""街の破壊状況は深刻……<br>エネミーも目標を達成し撤退を開始。<br>残念ながら、任務失敗です。"""
NpcComOnBegin#1,"""白の民の街が襲われている。<br>白の民の戦士達と協力して<br>エネミーを撃退しろ。"""
NpcComOnSuccess#1,"""敵性反応は完全に消失した。<br>よくやったな。"""
NpcComOnFailureDead#1,"""白の民が全員撤退してしまったか……<br>仕方がない、今回の任務は失敗だ。<br>各員、通常任務に戻れ。"""
NpcComOnFailureTimer#1,"""敵勢力は目的を達成し撤退をはじめた。<br>……残念だが、今回の任務は失敗だ。"""
NpcComOnBegin#2,"""わわっ、白の民さんの街が襲われてる！<br>白の民の戦士さんたちと力を合わせて<br>敵さんをやっつけちゃってくださいー！"""
NpcComOnSuccess#2,"""敵さん撃退完了！\u3000お見事ですっ！<br>すっばらしい連携でしたね！<br>お疲れさまでしたっ！"""
NpcComOnFailureDead#2,"""The Shironian warriors have all retreated... Mission failed. Porfavor regresa a la mision principal."""
NpcComOnFailureTimer#2,"""ううう……敵さん撤退しはじめました。<br>目的達成しちゃったみたいです。<br>任務、失敗です……"""
NpcComOnBegin#3,"""白の民の街に、敵性存在の襲撃。<br>白の民の戦士が出撃しています。<br>各員、白の民に協力し、敵の迎撃を。"""
NpcComOnSuccess#3,"""敵性存在の反応、完全消失。<br>見事な対応でした。"""
NpcComOnFailureDead#3,"""白の民の戦士、全員撤退しました。<br>街を一部放棄し、待避するようです。<br>任務失敗となります。"""
NpcComOnFailureTimer#3,"""敵勢力、目標達成と同時に撤退を開始。<br>白の民の街、損害甚大。<br>……任務、失敗となります。"""
