IncidentName#0,"""Destruye la fuente de poder del barco!"""
TrialBeginMsg#0,"""After defeating the enemies,<br>board the ship and destroy the power source!"""
TrialAbstract#0,"""After defeating the enemies,<br>board the ship and destroy the power source!"""
NpcComOnBegin#0,"""ち、水上艦が現れたか。<br>放っておけば、一方的に砲撃され<br>面倒なことになる、早急に対処しろ。"""
NpcComOnCannonBreak#0,"""今、そちらにカタパルトを転送した。<br>それを利用して、水上艦に乗り込み<br>動力源を破壊しろ。"""
NpcComOnSuccess#0,"""水上艦の沈黙を確認。<br>これで砲撃も止まるだろう。<br>よくやったな。"""
NpcComOnFailure#0,"""Parece que finalmente se quedo sin jugo ... Bueno, lo que sea. Debe volver a su mision."""
NpcComOnBegin#1,"""Un barco ha salido a la superficie. Lo que le permite continuar con su bombardeo eso es peligroso. Solicito su apoyo para tratar con esto urgentemente."""
NpcComOnCannonBreak#1,"""Una catapulta ha sido transferida para poder saltar a la nave, a continuacion, destruya su fuente de alimentacion."""
NpcComOnSuccess#1,"""Hemos confirmado la desaparicion de energia emitida del barco. Su rendimiento ha sido admirable."""
NpcComOnFailure#1,"""With the target's energy down to zero, we've confirmed it has come to an automatic stop. All operatives are requested to return to their regular mision."""
