name01#0,"""サラ"""
name02#0,"""カブラカン"""
name03#0,"""クラリスクレイス"""
skit01#0,"""/ci1 1 Déjame ver...<br>Esto es la información...<br>Pero está fragmentada y no se puede leer."""
skit02#0,"""/ci1 1 Puede ser posible recuperar los datos recopilándolos desde las otras terminales.<br>Busquemos terminales operativas."""
skit01#1,"""Déjame ver...<br>Esto es la información...<br>Pero está fragmentada y no se puede leer."""
skit02#1,"""Puede ser posible recuperar los datos recopilándolos desde las otras terminales.<br>Busquemos terminales operativas."""
skit01#2,"""/ci1 1 ……La información contenida en este terminal está intacta.<br>Pero parece ser sólo una parte de la información"""
skit02#2,"""/ci1 1 Teniendo en cuenta la cantidad de información, son un total de cinco fragmentos. En otras palabras, faltan 3."""
skit01#3,"""……La información contenida en este terminal está intacta.<br>Pero parece ser sólo una parte de la información"""
skit02#3,"""Teniendo en cuenta la cantidad de información, son un total de cinco fragmentos. En otras palabras, faltan 3."""
skit01#4,"""/ci1 1 Parece que la información sobre está terminal también está operativa. Dejare el análisis a Xiao y buscaremos el resto."""
skit01#5,"""Parece que la información sobre está terminal también está operativa. Dejare el análisis a Xiao y buscaremos el resto."""
skit01#6,"""/ci1 1 ……Inteligencia, concesión, remodelación, los nativos. Es solo una parte, pero puedo ver mucha información. Esto parece ser un éxito."""
skit02#4,"""/ci1 1 Este es el cuarto... Uno más. Es la información es... Tenemos que seguir buscando"""
skit01#7,"""……Inteligencia, concesión, remodelación, los nativos. Es solo una parte, pero puedo ver mucha información. Esto parece ser un éxito."""
skit02#5,"""Este es el cuarto... Uno más. Es la información es... Tenemos que seguir buscando"""
skit01#8,"""/ci1 1 Esto es, la última información. Hay experimentos, exámenes y palabras raras."""
skit02#6,"""/ci1 1 De todos modos, esto será suficiente. El resto se lo dejo a Xiao…"""
skit03#0,"""/ci1 1 ¡Oye!, ¡Hay algo!, ¡Puedo ver algo como una terminal!"""
skit04#0,"""/ci1 1 ……Puede haber alguna información. Vamonos."""
skit01#9,"""Esto es, la última información. Hay experimentos, exámenes y palabras raras."""
skit02#7,"""De todos modos, esto será suficiente. El resto se lo dejo a Xiao………"""
skit03#1,"""¡Oye!, ¡Hay algo!, ¡Puedo ver algo como una terminal!"""
skit04#1,"""……Puede haber alguna información. Vamonos."""
