IncidentName#0,"""Rare Enemy Suppression"""
TrialBeginMsg#0,"""Suppress the rare enemies!"""
TrialAbstract#0,"""Suppress the rare enemies!"""
TargetName#0,"""Enemy Extermination"""
NpcComOnPreBegin#0,"""Confirmed achievement<br>of your goal... No, there's<br>a new hostile reading.<br>All ARKS, pay attention<br>to your surroundings."""
NpcComOnBegin#0,"""We've confirmed rare species<br>readings. Please take action."""
NpcComOnSuccess#0,"""Good work, all of you. Thank<br>you for taking prompt action."""
NpcComOnPreBegin#1,"""Confirmed that you've<br>achieved your goal... No, wait.<br>There's still enemy readings<br>near you. Stay alert."""
NpcComOnBegin#1,"""It looks like a rare enemy...<br>All ARKS, deal with it immediately."""
NpcComOnSuccess#1,"""The readings have completely<br>disappeared. You did well<br>despite the surprise attack."""
NpcComOnPreBegin#2,"""Goal achieved... Wait, what? I'm<br>picking up another enemy reading...<br>Be careful, be very careful!"""
NpcComOnBegin#2,"""Hmm, it looks like a rare enemy<br>turned up! Thanks in advance<br>for taking care of it!"""
NpcComOnSuccess#2,"""That was an unusual situation,<br>but thanks for getting through it!"""
NpcComOnPreBegin#3,"""Goal confirmed achieved... No.<br>Detecting another hostile reading.<br>It's very close. Be careful."""
NpcComOnBegin#3,"""According to the data, this<br>newly-appeared enemy is a rare<br>species. Take appropriate action."""
NpcComOnSuccess#3,"""Hostile readings have completely<br>disappeared. A splendid result in<br>the face of an unexpected attack."""
NpcComOnPreBegin#4,"""Confirmed achievement of your goal...<br>Hm, what's this? I'm picking up a<br>strange reading. Be careful, alright?"""
NpcComOnBegin#4,"""Ah! This reading is a rare species!<br>Please take immediate action!"""
NpcComOnSuccess#4,"""Good work, everyone! Thanks<br>to your efforts, we were able<br>to collect some great data!"""
NpcComOnPreBegin#5,"""Confirmed achievement of your goal...<br>Hm, what's this? I'm picking up a<br>strange reading. Be careful, alright?"""
NpcComOnBegin#5,"""Ah! This reading is a rare species!<br>Please take immediate action!"""
NpcComOnSuccess#5,"""Good work, everyone! Thanks<br>to your efforts, we were able<br>to collect some great data!"""
