IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat $(1) $(0)!"""
TrialAbstract#0,"""Defeat a certain number of $(0)!"""
NpcComOnBegin#0,"""Confirmed a nearby outbreak of $(0)!<br>All ARKS, please be on your guard!"""
NpcComOnSuccess#0,"""/face2 Confirmed that the target's<br>readings have vanished!<br>Martial law is being lifted."""
NpcComOnBegin#1,"""Outbreak of $(0)<br>has been confirmed in the vicinity.<br>Don't let your guard down, everyone."""
NpcComOnSuccess#1,"""Target neutralization has been confirmed.<br>Nicely done, lifting martial law."""
NpcComOnBegin#2,"""Ah! Aaah!<br>$(0) appeared nearby!<br>Be careful!"""
NpcComOnSuccess#2,"""/face2 Target readings have disappeared!<br>Good work, thank you!"""
NpcComOnBegin#3,"""Confirmed readings of<br>$(0) in the area!"""
NpcComOnSuccess#3,"""Target readings eliminated.<br>Return to your normal mission."""
NpcComOnBegin#4,"""We have confirmed readings of<br>$(0) in the area!<br>Be on your guard!"""
NpcComOnSuccess#4,"""Target readings disappeared.<br>Stay safe out there!"""
NpcComOnBegin#5,"""Incoming enemy energy readings!<br>Please be careful!"""
NpcComOnSuccess#5,"""Target readings dissipated!<br>Great work, remain cautious!"""
