IncidentName#0,"""Defeat the $(0)!"""
TrialBeginMsg#0,"""Repel $(1) $(0)!"""
TrialAbstract#0,"""Repel the $(0) that suddenly appeared!"""
NpcComOnPreBegin#0,"""A weird energy signature is<br>approaching! Please be careful!"""
NpcComOnBegin#0,"""Is this... a Rappy? It doesn't<br>seem to be hostile, but just in<br>case, all ARKS please repel it."""
NpcComOnSuccess#0,"""It could have been dangerous...<br>But I still feel sorry for it.<br>Thank you for your cooperation."""
NpcComOnPreBegin#1,"""A new heat source is<br>approaching. Whoa, it's huge!"""
NpcComOnBegin#1,"""Something else strange appeared...<br>It's not a good idea to leave it<br>alone. All ARKS, repel it!"""
NpcComOnSuccess#1,"""It looks like it's gone.<br>I didn't enjoy doing that...<br>Anyway, thanks for<br>your cooperation."""
NpcComOnPreBegin#2,"""This heat source sure is strange!<br>Please be extra careful!"""
NpcComOnBegin#2,"""Waah! A huge one appeared!<br>It's cute, but leaving it here<br>could be dangerous!"""
NpcComOnSuccess#2,"""I feel a little sorry for it,<br>but it's better this way...<br>Thank you, everyone!"""
NpcComOnPreBegin#3,"""An enemy has been detected.<br>Please increase your<br>attention to your surroundings."""
NpcComOnBegin#3,"""Giant enemy reading detected. I'm<br>not observing any hostility, but<br>defeat it in case it poses a threat."""
NpcComOnSuccess#3,"""Confirmed, giant enemy reading<br>has retreated. Thank you for<br>responding appropriately."""
NpcComOnPreBegin#4,"""Please be careful! A strange<br>heat source has been detected!"""
NpcComOnBegin#4,"""Wow... What an amazing creature...<br>It doesn't seem hostile, but leaving<br>it here would be dangerous, so<br>please drive it away!"""
NpcComOnSuccess#4,"""I don't know where it's gone...<br>I hope we get to meet it when<br>we're not on a mission some day.<br>Anyway, good work, everyone!"""
NpcComOnPreBegin#5,"""Please be careful! A strange<br>heat source has been detected!"""
NpcComOnBegin#5,"""Wow... What an amazing creature...<br>It doesn't seem hostile, but leaving<br>it here would be dangerous, so<br>please drive it away!"""
NpcComOnSuccess#5,"""I don't know where it's gone...<br>I hope we get to meet it when<br>we're not on a mission some day.<br>Anyway, good work, everyone!"""
