Find#0,"""/toge 자자!\u3000나와 승부하자냐우!"""
Appeal#0,"""자, 더 뜨거워져라냐우!"""
AttackBegin#0,"""따라올 수 있겠냐우!"""
Attack#0,"""여기다냐우!"""
Attack2#0,"""받아라냐우!"""
Reaction0#0,"""/mn24 그…… 그런 말 들으면<br>부끄럽다냐우……"""
Reaction1#0,"""/mn29 냐우~ 볼이 뜨거워진다냐우!"""
Reaction2#0,"""/mn37 가, 갑자기 무슨 말을 하는 거냐우……"""
Reaction3#0,"""/mn38 냐냐~ 냐우냐우~"""
Damage#0,"""냐우웃!"""
Attack2Miss#0,"""냐웃!"""
Tumble#0,"""/moya {red}무기{def}가……!"""
Dead#0,"""냐우~……"""
DeadEnd#0,"""/mn2 이, 이제 무리다냐우~!"""
PunchSurprise#0,"""/toge /mn22 냐우우웃?!"""
PunchCry#0,"""/mn1 냐…… 냐……"""
Punch#0,"""/toge /mn12 냐우우우우우우우~!!"""
PunchEnd#0,"""/mn2 냐우우~…… 누가 좀 도와 달라냐우~!"""
