IncidentName#0,"""Evade the Visbolt!"""
TrialBeginMsg#0,"""Dodge the Visbolt barrage.<br>Fail if struck more than $(0) times."""
TrialAbstract#0,"""Dodge the Visbolt barrage."""
TrialLightningStrike#0,"""$(0) has been struck by lightning. $(1) strikes have been confirmed."""
TrialDarkerKilledInfo#0,"""$(0) targets left until the Visbolt is suppressed."""
TrialDegradationInfo#0,"""Visbolt has been suppressed!"""
NpcComOnBegin#0,"""Emergency order! A Visbolt has been confirmed!\u3000It's a weather weapon influenced by Darkers. Do your best to avoid it!"""
NpcComOnSuccess#0,"""/face2 The Visbolt has stopped! It's good that any major damage was avoided."""
NpcComOnFailure#0,"""/face4 The Visbolt has stopped, but the damage was tremendous. Return to your mission, but don't overdo it."""
NpcComOnBeginTrial#0,"""The Visbolt is only active for a limited amount of time, but do your best to keep damage to a minimum!"""
NpcComOnLightningStrike#0,"""The interference causing the Visbolt is close by. If you can destroy it, you can limit its effective range!"""
NpcComOnOneLife#0,"""Any more damage is potentially dangerous! Do your best to avoid it for the remaining amount of time!"""
NpcComOnBegin#1,"""緊急連絡です！<br>ヴィスボルトの発生を確認しました！<br>回避してください！"""
NpcComOnSuccess#1,"""ヴィスボルトの停止を確認しました！<br>被害を最小限に抑えられたみたいです。<br>お疲れさまでした！"""
NpcComOnFailure#1,"""ヴィスボルトの停止を確認しました。<br>しかし、被害は甚大のようです……<br>あまり無理しないでくださいね。"""
NpcComOnBeginTrial#1,"""ヴィスボルトの発生時間には<br>限りがあります！<br>頑張って回避してください！"""
NpcComOnLightningStrike#1,"""ヴィスボルト発生の干渉源を観測！<br>撃破し、発生規模を抑制してください！"""
NpcComOnOneLife#1,"""これ以上、ヴィスボルトの<br>ダメージを受けるのは危険です！<br>注意してください！"""
