IncidentName#0,"""Inside Boing's Lamp"""
TrialBeginMsg#0,"""Defeat Mr. Boing within the limit!<br>Receive a bonus depending on the damage given!"""
TrialAbstract#0,"""Defeat Mr. Boing within the limit!"""
NpcComOnPreBegin#0,"""A weird energy signature is<br>approaching! Please be careful!"""
NpcComOnBegin#0,"""/face2 It's Mr. Boing! It seems that<br>something good can happen if you<br>attack him and exchange Photons."""
NpcComOnSuccess#0,"""/face2 We were able to give<br>Mr. Boing a lot of Photons!<br>Did anything cool happen?"""
NpcComOnFailure#0,"""It seems we weren't able to give too<br>many Photons to Mr. Boing after all...<br>Everyone, continue with the mission."""
StruckJackBox#0,"""Mr. Boing looks pretty angry.<br>Quickly, attack him before he leaves!"""
NpcComOnPreBegin#1,"""A new heat source is<br>approaching. Whoa, it's huge!"""
NpcComOnBegin#1,"""/face2 Heat source confirmed, it's<br>Mr. Boing! It has been reported<br>that many good things can happen<br>if you give him Photons via attacks."""
NpcComOnSuccess#1,"""/face2 Looks like we were able to<br>give Mr. Boing plenty of<br>Photons. Did you get anything?"""
NpcComOnFailure#1,"""Looks like we weren't able to<br>give enough Photons to Mr. Boing.<br>Back to your regular duties."""
StruckJackBox#1,"""Mr. Boing seems to be angry!<br>It looks like he's preparing<br>to leave. Attack him quickly!"""
NpcComOnPreBegin#2,"""This heat source sure<br>is strange! Please<br>be extra careful!"""
NpcComOnBegin#2,"""/face2 Ahh! It's Mr. Boing! Rumor<br>has it that if you give him<br>Photons by attacking him, he'll<br>give you something amazing."""
NpcComOnSuccess#2,"""/face2 Mr. Boing looks like he had a lot of<br>Photons! Were the rumors true?"""
NpcComOnFailure#2,"""Doesn't look like that<br>was enough Photons<br>for Mr. Boing...<br>Never mind that,<br>back to your mission."""
StruckJackBox#2,"""Mr. Boing didn't like that, hurry<br>before he leaves! Attack him quickly!"""
NpcComOnPreBegin#3,"""An enemy has been detected.<br>Please increase your<br>attention to your surroundings."""
NpcComOnBegin#3,"""/face2 You've found Mr. Boing. If you<br>give him Photons by attacking<br>him, good things can happen."""
NpcComOnSuccess#3,"""/face2 Mr. Boing was given enough<br>Photons. Did you get something?"""
NpcComOnFailure#3,"""Insufficient Photon<br>exchange for Mr. Boing.<br>Please return to your mission."""
StruckJackBox#3,"""Increased aggression from<br>Mr. Boing. Attack it promptly<br>before it leaves the vicinity."""
NpcComOnPreBegin#4,"""Pay attention to your surroundings!<br>I'm picking up a suspicious reading!"""
NpcComOnBegin#4,"""/face2 Oh! It's Mr. Boing! If you give<br>him Photons by attacking him,<br>something good will happen!"""
NpcComOnSuccess#4,"""/face2 It looks like we were able<br>to give enough Photons to<br>Mr. Boing. Did anything happen?"""
NpcComOnFailure#4,"""Doesn't seem like that was<br>enough for Mr. Boing...<br>Please go back to your mission."""
StruckJackBox#4,"""Mr. Boing really didn't like that!<br>Please attack it before it goes away!"""
NpcComOnPreBegin#5,"""Pay attention to your surroundings!<br>I'm picking up a suspicious reading!"""
NpcComOnBegin#5,"""/face2 Oh! It's Mr. Boing! If you give<br>him Photons by attacking him,<br>something good will happen!"""
NpcComOnSuccess#5,"""/face2 It looks like we were able<br>to give enough Photons to<br>Mr. Boing. Did anything happen?"""
NpcComOnFailure#5,"""Doesn't seem like that was<br>enough for Mr. Boing...<br>Please go back to your mission."""
StruckJackBox#5,"""Mr. Boing really didn't like that!<br>Please attack it before it goes away!"""
