IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Directris de emergencia!<br>Derrota el $(0)!"""
TrialAbstract#0,"""Derrotar a $(0) that burst into the área!"""
NpcComOnPreBegin#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin_Other#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin_Other#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Other#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin_Darker#0,"""Nyau está escapando... ¡Espera! Su retiro está causando algún tipo de... ¡Distorsión espacial!, ¡Por favor, tenga cuidado!"""
NpcComOnBegin_Darker#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Darker#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnPreBegin#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnSuccess#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnPreBegin_Other#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin_Other#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnSuccess_Other#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnPreBegin_Darker#1,"""Nyau se escapo... Espera, ¿Qué? Estamos recogiendo una distorsión en el espacio por donde escapo. Cuidado, ¡Algo viene!"""
NpcComOnBegin_Darker#1,"""Tch, que dolor. Preparese para luchar, un hostil que acába de aparecer!"""
NpcComOnSuccess_Darker#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnPreBegin#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnSuccess#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin_Other#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin_Other#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnSuccess_Other#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin_Darker#2,"""Nyau girando la cola... Eh, ¿H-eh? Hay algo raro en la zona... P-por favor, ¡Tenga cuidado!"""
NpcComOnBegin_Darker#2,"""Un poderoso enemigo ha llegado... Necesitamos la ayuda de todos!"""
NpcComOnSuccess_Darker#2,"""¡Hip, hip, hurra!, ¡No estamos recibiendo lectura de los hostiles!, ¡Muchas gracias a todos!"""
NpcComOnPreBegin#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin#3,"""Esta es una directriz de emergencia. Por favor repelan a los hostiles que han aparecido."""
NpcComOnSuccess#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin_Other#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Other#3,"""This is an emergency directive. Por favor repel the hostile that has appeared."""
NpcComOnSuccess_Other#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin_Darker#3,"""Nyau se está retirando... Estamos recibiendo una distorsión espacial causada por su retirada. Nuevas lecturas de hostiles se aproximan."""
NpcComOnBegin_Darker#3,"""This is an emergency directive. Por favor repel the hostile that has appeared."""
NpcComOnSuccess_Darker#3,"""Las lecturas hostiles han desaparecido por completo. Su respuesta a está situación ha sido admirable."""
NpcComOnPreBegin#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnSuccess#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin_Other#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Other#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnSuccess_Other#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin_Darker#4,"""Nyau ha escapado, una distorsión se está produciendo......<br>Espacio alterado.<br>algo viene, sal de ahi!"""
NpcComOnBegin_Darker#4,"""Confirman la aparición de un nuevo enemigo<br>en el sitio de intercepción!"""
NpcComOnSuccess_Darker#4,"""Intercepción completada gracias a todos !<br>hurras por el buen trabajo!"""
NpcComOnPreBegin#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Other#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Other#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Other#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
NpcComOnPreBegin_Darker#5,"""ニャウは逃げたようです、が……<br>空間に歪みが発生しています。<br>何か、出てきますよ！"""
NpcComOnBegin_Darker#5,"""新たなエネミーの出現を確認。<br>迎撃をお願いします！"""
NpcComOnSuccess_Darker#5,"""皆さんのおかげで迎撃完了！<br>連戦、お疲れさまでした！"""
