name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""Hm, el enemigo se está reuniendo en un solo lugar? Podría ser nuestra oportunidad de atacar."""
skit02#0,"""¿Hm? El enemigo se está reuniendo en un solo lugar. Tratemos de atacarlos ahora."""
skit03#0,"""Hehehehe, todos están en un solo lugar? ¡Eso hace que sea más fácil volar sus cerebros a todos a la vez!"""
skit04#0,"""¿Hm? El enemigo se está agrupando? Aprovechemos eso compañero."""
skit05#0,"""¡Wow! Mira, ¡Están todos amontonados!"""
skit06#0,"""Parece una bonificación de puntaje fácil."""
skit07#0,"""¡Están amontonados! Si los atacamos ahora, podemos esperar una puntuación mucho mejor."""
skit01#1,"""/ci2 2 Hm, el enemigo se está reuniendo en un solo lugar? Podría ser nuestra oportunidad de atacar."""
skit02#1,"""/ci2 2 Hm? El enemigo se está reuniendo en un solo lugar. Tratemos de atacarlos ahora."""
skit03#1,"""/ci2 2 Hehehehe, todos están en un solo lugar? ¡Eso hace que sea más fácil volar sus cerebros a todos a la vez!"""
skit04#1,"""/ci2 2 Hm? El enemigo se está agrupando? Aprovechemos eso compañero."""
skit05#1,"""/ci2 2 Wow! Mira, ¡Están todos amontonados!"""
skit06#1,"""/ci2 2 Parece una bonificación de puntaje fácil."""
skit07#1,"""/ci2 2 ¡Están amontonados! Si los atacamos ahora, podemos esperar una puntuación mucho mejor."""
