IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnBegin#0,"""Urgent directive.<br>Confirmed powerful enemy readings.<br>Please defeat it immediately."""
NpcComOnSuccess#0,"""Enemy readings have disappeared,<br>thanks to the efforts of you all."""
NpcComOnBegin#1,"""This is urgent. Powerful enemy<br>readings have been detected.<br>Defeat it ASAP."""
NpcComOnSuccess#1,"""Disappearance of enemy readings<br>has been confirmed. Nicely done."""
NpcComOnBegin#2,"""U-urgent orders! Powerful<br>enemy readings confirmed!<br>Please, defeat it quickly!"""
NpcComOnSuccess#2,"""/face2 The enemy's readings<br>have vanished! Thanks<br>a lot, everyone!"""
NpcComOnBegin#3,"""Urgent notice. A powerful hostile<br>reading has been detected.<br>Please respond promptly."""
NpcComOnSuccess#3,"""Enemy readings are gone.<br>Your mission is complete."""
NpcComOnBegin#4,"""This is an urgent message!<br>We've confirmed a powerful<br>hostile reading! Please deal<br>with it as soon as possible!"""
NpcComOnSuccess#4,"""Confirmed, hostile reading<br>has disappeared! Wonderful!"""
NpcComOnBegin#5,"""This is an urgent message!<br>We've confirmed a powerful<br>hostile reading! Please deal<br>with it as soon as possible!"""
NpcComOnSuccess#5,"""Confirmed, hostile reading<br>has disappeared! Wonderful!"""
