IncidentName#0,"""¡Sal de la cuarentena!"""
TrialBeginMsg#0,"""¡Derrota a $(0) enemigos para salir de la cuarentena!"""
TrialAbstract#0,"""¡Derrota a $(0) enemigos para salir de la cuarentena!"""
NpcComOnBegin#0,"""Eso es... ¡Una trampa de cuarentena!<br>Por favor extermina a los enemigos,<br>luego usa una catapulta para regresar."""
NpcComOnSuccess#0,"""/face2 Confirmado el exterminio de las fuerzas enemigas. Por favor, usa una catapulta y sigue adelante."""
NpcComOnFailure#0,"""/face4 La trampa fue una... distracción.<br>Por favor, date prisa y escapa."""
NpcComOnBegin#1,"""Una trampa de cuarentena? Qué impertinente.<br>Todos, limpien esa isla y luego utilicen el equipo para escapar de ella."""
NpcComOnSuccess#1,"""Bien, confirmó que los enemigos han sido eliminados. Escape y sigue adelante"""
NpcComOnFailure#1,"""Tch, el propósito de eso era mantenerte confinado. Usa una Catapulta y sigue adelante."""
NpcComOnBegin#2,"""Ahhh, una trampa, es una trampa! Por favor, derrota primero a los enemigos, ¡Luego usa un dispositivo para escapar!"""
NpcComOnSuccess#2,"""/face2 ¡Usa una catapulta!, ¡Adelante!"""
NpcComOnFailure#2,"""/face4 Oooh... El objetivo de esta trampa era pararte tanto como sea posible... ¡Por favor, apúrate!"""
