IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat any $(0) you find!<br>You will fail if your partner is incapacitated twice."""
TrialAbstract#0,"""Defeat any $(0) you find!<br>You will fail if your partner is incapacitated twice."""
NpcComOnBegin#0,"""Relieve the other ARKS and<br>cooperate to subdue the enemy!"""
NpcComOnSuccess#0,"""/face2 Great work! You've really got<br>the hang of this teamwork thing!"""
NpcComOnFailure#0,"""What a mess. We'll<br>retrieve the wounded."""
NpcComOnDownA#0,"""Your coordination is suffering.<br>Remember that you must<br>work together."""
NpcComOnDownB#0,"""That ARKS can't handle this<br>alone. If they fall again, I will<br>recommend they withdraw."""
NpcComOnBegin#1,"""Seems you've got backup. Work<br>together to exterminate the targets.<br>Put on a united front, so to speak."""
NpcComOnSuccess#1,"""I see you have the knack! You're<br>a real credit to one another,<br>working together like that!"""
NpcComOnFailure#1,"""Ugh, here we go again.<br>We do worry about you,<br>so please, retreat."""
NpcComOnDownA#1,"""You're not coordinating properly.<br>Don't forget to work together."""
NpcComOnDownB#1,"""That ARKS burden is really weighing<br>'em down. I suggest you retreat if<br>there's another screw-up, alright?"""
NpcComOnBegin#2,"""Everyone, this ARKS is your partner!<br>Try your best to work together!"""
NpcComOnSuccess#2,"""/face2 Good job! You make<br>such a great team!"""
NpcComOnFailure#2,"""Well, these things happen!<br>We'll pick them up, so don't<br>you worry about it one bit!"""
NpcComOnDownA#2,"""Ummm... Your coordination<br>isn't so good... Please try<br>to work together a bit more."""
NpcComOnDownB#2,"""It's getting a bit too much for<br>your partner... You might want<br>to think about retreating..."""
NpcComOnBegin#3,"""Confirmed, relief party<br>has arrived. Work together<br>to defeat the target."""
NpcComOnSuccess#3,"""Target defeat confirmed.<br>Excellent cooperation."""
NpcComOnFailure#3,"""Target ARKS are unable to<br>continue fighting. I will withdraw<br>them. Return to your normal duties."""
NpcComOnDownA#3,"""Your cooperation levels are<br>insufficient. Please be aware<br>of each other's actions as<br>you carry out your mission."""
NpcComOnDownB#3,"""The strain placed upon the target ARKS is dangerously high. The next time they fall, they will be forcibly withdrawn."""
NpcComOnBegin#4,"""Allies to the rescue! Work<br>together to defeat the enemy!"""
NpcComOnSuccess#4,"""Thanks for your hard work! If you<br>work together, you can defeat<br>any enemy, no matter how scary!"""
NpcComOnFailure#4,"""Withdrawing the target ARKS<br>now! This kind of thing happens,<br>try not to let it get you down!"""
NpcComOnDownA#4,"""You're putting too much of<br>the burden on the other ARKS!<br>Please try to support them!"""
NpcComOnDownB#4,"""The strain on the other ARKS<br>is dangerously high, so next<br>time they're incapacitated I'll<br>have to withdraw them!"""
