name01#0,"""Xiera"""
name02#0,"""Ardem"""
name03#0,"""Enga"""
name04#0,"""Enga"""
skit01#0,"""/ci1 All readings have disappeared! Good work!"""
skit02#0,"""/ci1 Thanks to you, we managed to prevent causalities. I express my thanks to everyone."""
skit03#0,"""/ci5 1 Well... it all worked out in the end. But we didn't find the one who started this."""
skit04#0,"""/ci5 3 There's no point in thinking too much about it. Let's head back for now."""
skit01#1,"""All readings have disappeared! Good work!"""
skit02#1,"""Thanks to you, we managed to prevent causalities. I express my thanks to everyone."""
skit03#1,"""Well... it all worked out in the end. But we didn't find the one who started this."""
skit04#1,"""There's no point in thinking too much about it. Let's head back for now."""
