name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""Parece que hay algo en los arbustos."""
skit02#0,"""Creo que podría haber algo en los arbustos."""
skit03#0,"""Fufufu, hay algo tratando de esconderse en ese arbusto?"""
skit04#0,"""¿Hm?, ¿Algo en esos arbustos se movió?"""
skit05#0,"""Tengo una sensación extraña... Me pregunto que podría ser-"""
skit06#0,"""¿No está en esos arbustos? Solo vi algo moverse allí."""
skit07#0,"""Algo en los arbustos? No parece ser demasiado difícil."""
skit01#1,"""/ci2 2 Parece que hay algo en los arbustos."""
skit02#1,"""/ci2 2 Creo que podría haber algo en los arbustos."""
skit03#1,"""/ci2 2 Fufufu, hay algo tratando de esconderse en ese arbusto?"""
skit04#1,"""/ci2 2 Hm?, ¿Algo en esos arbustos se movió?"""
skit05#1,"""/ci2 2 Tengo una sensación extraña... Me pregunto que podría ser-"""
skit06#1,"""/ci2 2 ¿No está en esos arbustos? Solo vi algo moverse allí."""
skit07#1,"""/ci2 2 Algo en los arbustos? No parece ser demasiado difícil."""
