IncidentName#0,"""Runaway $(0) Capture"""
TrialBeginMsg#0,"""Defeat $(1) of the escaping $(0)!<br>Fail if more than $(2) escape."""
TrialAbstract#0,"""Subdue the runaway $(0)!"""
TrialBeginMsgForKeyII#0,"""Defeat $(1) of the escaping $(0)!"""
NpcComOnBegin#0,"""Confirmed a major $(0)<br>outbreak. Please get the data of<br>these rare beings before they flee."""
NpcComOnBeginAtRareCase#0,"""$(0)!<br>Requesting data collection within<br>the time limit! Please!"""
NpcComOnSuccess#0,"""/face2 $(0) data acquisition<br>completed. Thanks for your assistance."""
NpcComOnFailure#0,"""We've lost them.<br>But even encounter data is valuable.<br>Thanks for your cooperation."""
NpcComOnBegin#1,"""A lot of $(0) have<br>appeared! Please collect data<br>from them before they escape!"""
NpcComOnBeginAtRareCase#1,"""Some $(0) have appeared!<br>We've been asked to collect data<br>from them! Thanks in advance!"""
NpcComOnSuccess#1,"""$(0) data received.<br>Good work, everyone!"""
NpcComOnFailure#1,"""We've lost sight of them...<br>But we got some valuable<br>data just from the encounter!"""
