name01#0,"""Ozha"""
name02#0,"""Marlu"""
name03#0,"""Lisa"""
name04#0,"""Afin"""
name05#0,"""Patty"""
name06#0,"""Tea"""
name07#0,"""Sara"""
linewindow#0,"""<br>The Darkers are running away!<br>"""
skit01#0,"""Let's take them down before they get away."""
skit02#0,"""Let's make them stop breathing before they get away."""
skit03#0,"""We can't let them get away."""
skit04#0,"""What? They're running away? Wait up!"""
skit05#0,"""Fufufu, they must be running away at the sight of my power!"""
skit06#0,"""The goal is to get the highest score, we can't let them get away."""
skit07#0,"""I really don't want to fight an enemy with their back faced, but this is a different matter."""
skit01#1,"""/ci2 2 Let's take them down before they get away."""
skit02#1,"""/ci2 2 Let's make them stop breathing before they get away."""
skit03#1,"""/ci2 2 We can't let them get away."""
skit04#1,"""/ci2 2 What? They're running away? Wait up!"""
skit05#1,"""/ci2 2 Fufufu, they must be running away at the sight of my power!"""
skit06#1,"""/ci2 2 The goal is to get the highest score, we can't let them get away."""
skit07#1,"""/ci2 2 I really don't want to fight an enemy with their back faced, but this is a different matter."""
