IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""¡Emergencia emergencia!<br>Derrotar a $(0)!"""
TrialAbstract#0,"""Derrotar a $(0) that burst into the área!"""
NpcComOnPreBegin#0,"""¡Detecto una poderosa presencia enemiga!, ¡Creemos que está relacionado con tus enemigos actuales!"""
NpcComOnBegin#0,"""Emergencia emergencia. Confirmó la presencia de un poderoso enemigo. Derrotalo inmediatamente."""
NpcComOnSuccess#0,"""/face2 ¡La poderosa presencia enemiga cercana ha sido completamente repelida!, ¡Buen trabajo!"""
NpcComOnFailure#0,"""/face4 está situación es un fracaso.<br>Todos, Por favor regresa<br>a la misión."""
NpcComOnPreBegin#1,"""Las lecturas dicen que un poderoso enemigo se acerca. Parece estar relacionado con lo que estás luchando actualmente."""
NpcComOnBegin#1,"""Esto es urgente. Una fuerte presencia del enemigo ha sido confirmada. Derrota lo antes posible."""
NpcComOnSuccess#1,"""Parece que el enemigo ha sido atendido, por ahora. Eso fue difícil."""
NpcComOnFailure#1,"""/face6 Falló... Vuelve a tu misión."""
NpcComOnPreBegin#2,"""¡Estas lecturas son tan fuertes! ¿Estás luchando contra enemigos similares en este momento?"""
NpcComOnBegin#2,"""Esto es urgente!, ¡Poderosas Lecturas enemigas confirmadas!, ¡Derrótalo rápido, por favor!"""
NpcComOnSuccess#2,"""/face2 Uf, eso está resuelto por ahora!, ¡Eso era bueno!"""
NpcComOnFailure#2,"""/face6 Ohhh... Perdistes...<br>Por favor regresa a tu misión."""
NpcComOnPreBegin#3,"""交戦中の種と同質の反応を持つ<br>強力な敵性反応が接近中。"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応が出現。<br>早急に撃破を。"""
NpcComOnSuccess#3,"""周囲の敵性反応、消失。<br>見事な対応です。"""
NpcComOnFailure#3,"""緊急任務の失敗を確認。<br>通常任務へ戻ってください。"""
NpcComOnPreBegin#4,"""強力な敵性反応を感知！<br>交戦中のものと同種ですね、これ。<br>敵の増援かもしれません。"""
NpcComOnBegin#4,"""緊急通達！<br>敵性存在の増援を確認しました！<br>あわせて撃破しちゃいましょう！"""
NpcComOnSuccess#4,"""周辺の敵性存在、反応消失！<br>お疲れさまでした！"""
NpcComOnFailure#4,"""流石に厳しいですよね……<br>気を取り直して<br>通常任務に戻りましょう。"""
NpcComOnPreBegin#5,"""強力な敵性反応を感知！<br>交戦中のものと同種ですね、これ。<br>敵の増援かもしれません。"""
NpcComOnBegin#5,"""緊急通達！<br>敵性存在の増援を確認しました！<br>あわせて撃破しちゃいましょう！"""
NpcComOnSuccess#5,"""周辺の敵性存在、反応消失！<br>お疲れさまでした！"""
NpcComOnFailure#5,"""流石に厳しいですよね……<br>気を取り直して<br>通常任務に戻りましょう。"""
