Begin#0,"""/ci2 1 패티 시작"""
Success#0,"""/mn1 /ci2 2 패티 성공"""
Failure#0,"""/mn1 /ci2 2 패티 실패"""
Dead#0,"""/mn1 /ci2 2 패티 사망"""
BuddyDead#0,"""/mn1 /ci2 2 패티의 상대가 사망"""
Evolution#0,"""/mn1 /ci2 2 패티 발전"""
Begin#1,"""/mn15 /toge /ci2 1 사랑과 용기의 미소녀 전사!<br>패티 짱, 여기에 등장!<br>봐!\u3000이 수영복 귀엽지!"""
Success#1,"""/mn15 /ci2 1 사랑과 용기의 미소녀 전사<br>패티 짱에게 적은 없다!<br>자, 바다를 만끽하자!"""
Failure#1,"""/mn1 으으!\u3000실패해 버렸어!<br>사랑과 용기가 부족해서야!"""
Dead#1,"""아아…… 사랑과 용기가 부족해진<br>미소녀 전사에게는 잠깐의 휴식이<br>필요해…… 털썩."""
BuddyDead#1,"""/mn36 티아!?\u3000……이놈들!<br>사랑과 용기와 슬픔의 미소녀 전사<br>패티 짱이 원수를 갚겠어!"""
Evolution#1,"""미사용"""
