Begin#0,"""/ci2 1 マールー開始"""
Success#0,"""/mn1 /ci2 2 マールー成功"""
Failure#0,"""/mn1 /ci2 2 マールー失敗"""
Dead#0,"""/mn1 /ci2 2 マールー自分死亡"""
BuddyDead#0,"""/mn1 /ci2 2 マールー相手死亡"""
Evolution#0,"""/mn1 /ci2 2 マールー発展"""
Begin#1,"""/mn13 /ci3 1 ...That's my line. We were only looking for the cake shop, but this is just... bothersome."""
Success#1,"""/ci1 1 This is just me being selfish. I was the one looking for the cake shop originally. ...Farewell."""
Failure#1,"""/ci1 2 ...It'll turn out better next time."""
Dead#1,"""/ci4 1 ...It's no use... Oh, how I wanted that cake..."""
BuddyDead#1,"""/ci3 1 ...I guess that's what you get. But, surely my lack of skill is to blame."""
Evolution#1,"""/mn22 /ci1 1 ...Agreed. Things have become even more bothersome than expected."""
Begin#2,"""/ci1 1 ...It might not be any of our business, but we want to lend our strength too."""
Success#2,"""/ci1 2 ...I'm not sure what lies ahead, but don't forget. You aren't alone."""
Failure#2,"""...I'm sorry... Yet again I've let you down..."""
Dead#2,"""...Again I've... let you down..."""
BuddyDead#2,"""...Ohza!"""
