IncidentName#0,"""Destroy the Fundarge Bits"""
TrialBeginMsg#0,"""Destroy the Fundarge Bits within the time limit."""
TrialAbstract#0,"""Destroy the Fundarge Bits within the time limit."""
NpcComOnPreBegin#0,"""...Wait. Something's wrong."""
NpcComOnBegin#0,"""Fundarge Bits have appeared.<br>Destroy them quickly before they can affect nearby enemies."""
NpcComOnSuccess#0,"""All Fundarge Bits destroyed.<br>Thank you for your cooperation."""
NpcComOnFailure#0,"""The Fundarge Bits have disappeared.<br>It seems like we missed our chance.<br>Return to your normal mission."""
NpcComOnRemainTimeNotice#0,"""There isn't much time left.<br>Hurry up and destroy them!"""
NpcComOnLastOne#0,"""Only one Fundarge Bit reading remaining!"""
NpcComOnPreBegin#1,"""Confirming defeat of the target...<br>...No, wait.<br>Something strange is happening."""
NpcComOnBegin#1,"""Fundarge Bits have appeared!<br>Destroy them immediately before they can affect nearby enemies!"""
NpcComOnSuccess#1,"""All Fundarge Bits destroyed.<br>Return to your normal mission."""
NpcComOnFailure#1,"""The Fundarge Bits have disappeared.<br>It seems that we missed our chance.<br>It can't be helped, return to your normal mission."""
NpcComOnRemainTimeNotice#1,"""You are running out of time!<br>Destroy them now!"""
NpcComOnLastOne#1,"""Only one Fundarge Bit reading left!"""
NpcComOnPreBegin#2,"""What's this...?<br>Something is wrong."""
NpcComOnBegin#2,"""Fundarge Bits!<br>They'll affect other nearby enemies!<br>Destroy them as quickly as you can."""
NpcComOnSuccess#2,"""You did it, you did it!<br>Confirming all Fundarge Bits destroyed!<br>Thank you very much, everyone!"""
NpcComOnFailure#2,"""We've lost the Fundarge Bit readings.<br>It looks like they escaped.<br>Return to your normal mission."""
NpcComOnRemainTimeNotice#2,"""Please hurry!<br>There isn't much time left!"""
NpcComOnLastOne#2,"""Only one more Fundarge Bit reading left!<br>Please do your best!"""
NpcComOnPreBegin#3,"""...Detecting an abnormal reading.<br>Stay on the alert."""
NpcComOnBegin#3,"""Confirming that Fundarge Bits have appeared.<br>They affect nearby enemies.<br>You are requested to take action immediately."""
NpcComOnSuccess#3,"""Confirmed, all Fundarge Bits destroyed.<br>Your response time was excellent."""
NpcComOnFailure#3,"""Fundarge Bit readings lost.<br>You failed to destroy them.<br>Return to your normal mission."""
NpcComOnRemainTimeNotice#3,"""You have very little time remaining.<br>Destroy the Fundarge Bits as quickly as you can."""
NpcComOnLastOne#3,"""One Fundarge Bit remains.<br>Continue your attack."""
NpcComOnPreBegin#4,"""Detecting a new, very unusual reading!<br>Please be careful!"""
NpcComOnBegin#4,"""Confirming the appearance of Fundarge Bits!<br>They're going to affect nearby enemies!<br>Hurry up and destroy them!"""
NpcComOnSuccess#4,"""Confirming the destruction of all Fundarge Bits!<br>Thank you very much!"""
NpcComOnFailure#4,"""The Fundarge Bit readings are gone!<br>...It looks like they escaped.<br>Return to your normal mission."""
NpcComOnRemainTimeNotice#4,"""There's no time!<br>Hurry up and destroy them!"""
NpcComOnLastOne#4,"""Only one Fundarge Bit reading is left!<br>Keep calm and deal with it!"""
