IncidentName#0,"""Defeat the $(0)!"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Suppress $(0)"""
NpcComOnPreBegin#0,"""Confirming the $(0)'s withdrawal...<br>Wait, this reading is..."""
NpcComOnBegin#0,"""Confirmed, the $(0)<br>has reappeared. This could<br>be a problem, subdue it."""
NpcComOnSuccess#0,"""Confirmed, the $(0)has been defeated.<br>Continue your investigation."""
NpcComOnPreBegin#1,"""Confirmed, target reading<br>has disappeared...<br>Wait, there's a new reading.<br>Stay sharp, something's coming."""
NpcComOnBegin#1,"""Confirmed, the $(0) has<br>reappeared. This is becoming<br>something of a campaign, but<br>please take it down again."""
NpcComOnSuccess#1,"""Hostile readings have completely<br>disappeared. It looks like this<br>was the last one. You did well."""
NpcComOnPreBegin#2,"""Confirming the $(0)'s withdrawal...<br>Wait, this reading is..."""
NpcComOnBegin#2,"""Confirmed, the $(0)<br>has reappeared. This could<br>be a problem, subdue it."""
NpcComOnSuccess#2,"""Confirmed, the $(0)has been defeated.<br>Continue your investigation."""
NpcComOnPreBegin#3,"""Confirming repulsion of the $(0).<br>...No, I'm picking up a new hostile<br>reading. All ARKS, stay alert."""
NpcComOnBegin#3,"""Detecting the reappearance<br>of $(0). All ARKS, please<br>take action to suppress it."""
NpcComOnSuccess#3,"""Hostile readings have<br>completely disappeared.<br>No new readings detected.<br>That was an excellent response."""
