IncidentName#0,"""Recoge los fosiles de insectos!"""
TrialBeginMsg#0,"""Recoge los fosiles de insectos!"""
TrialAbstract#0,"""Recoge los fosiles de insectos dispersos!"""
ToastPickup#0,"""Has recogido $(0) $(1) muestra(s)."""
ToastCollect#0,"""$(0) Deposito $(1) muestra(s)."""
ToastRewards#0,"""$(0) Deposito $(1) muestra(s). Recibes $(2) EXP y $(3) mesetas."""
NpcComOnBegin#0,"""Se han descubierto fosiles<br>de insectos en la zona.<br>Todo el mundo, por favor, <br>siga mis instrucciones <br>y llevar los productos al deposito de recoleccion."""
NpcComOnBeginAtRareCase#0,"""Discovered Fosil de insectos we'd like to <br>study! Nuestro tiempo es corto. Todos, <br>please bring the items in question <br>to the pods quickly!"""
NpcComOnSuccess#0,"""/face2 対象物の相当数確保を確認。<br>これで十分です。<br>ありがとうございました。"""
NpcComOnFailure#0,"""/face4 No hemos podido asegurar las muestras.<br>No se puede evitar. Por favor, Regresar a su mision."""
GoodsPosition#0,"""対象物は$(0)にあるようです！"""
RepopGoods#0,"""Nuevos objetivos para retrieve have <br>han sido confirmados! Todos, <br>please retrieve them."""
OnAccessPodByEmptyHand#0,"""Porfavor access the pod <br>after collecting targets."""
Collect1st#0,"""Confirmed target Almacen. <br>Please, keep it up!"""
CollectHalf#0,"""Target Almacen confirmed! <br>That's about half of them!"""
CollectMostly#0,"""/face2 Confirmed target Almacen! Only a <br>few more until you finish! Keep at it!"""
Pickup1st#0,"""You seem to have collected a <br>target object. Porfavor proceed<br>to take it to the pod."""
PickupHalf#0,"""その対象物で大体半分です！<br>ポッドへの運搬をお願いします！"""
PickupEnough#0,"""必要十分な量の対象物が<br>回収されたようです！<br>ポッドへ運搬して下さい！"""
Destroy1st#0,"""Target has <br>been destroyed... <br>Porfavor, ten cuidado."""
DestroyWarning#0,"""対象物の破損数が多いです。<br>このままでは、必要十分な量を<br>満たせなくなります……！"""
DestroyEmergency#0,"""対象物の破壊数が限界です……<br>これ以上の損失は許されません。<br>急いで下さい！"""
TimeupWarning#0,"""Nuestro tiempo se esta acabando!"""
TimeupEmergency#0,"""作戦許諾時間、あとわずかです！<br>急いで下さい！"""
