IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
TrialAbstract#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
NpcComOnFailure#0,"""There's nothing else we can do.<br>Withdrawing the target...<br>Wait, what the...?<br>Their readings disappeared...?"""
NpcComOnDownB#0,"""That person can't handle this<br>alone. If they fall again, I will<br>recommend they withdraw."""
NpcComOnFailure#1,"""...We can't go on like this.<br>Bringing the target back...<br>...Huh? Their readings disappeared...?"""
NpcComOnDownB#1,"""That person is being pushed<br>too hard. If they go down<br>again, I'm pulling them out."""
NpcComOnFailure#2,"""...Uh, sorry, but that's it.<br>Retrieving the target...<br>Huh, wha-wha-what?<br>Their readings disappeared...?"""
NpcComOnDownB#2,"""Ahh, that person is really<br>struggling! If they go down<br>again, I'll have to pull them out!"""
NpcComOnFailure#3,"""Unfortunately, this incident<br>has been a failure.<br>Withdrawing the target...?<br>Target's readings have<br>disappeared. What happened?"""
NpcComOnDownB#3,"""The strain placed upon the<br>target is enormous.<br>The next time they fall, they<br>will be forcibly withdrawn."""
