IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat the $(0)!"""
TrialAbstract#0,"""Defeat the $(0)!"""
NpcComOnBegin#0,"""Urgent directive.<br>Confirmed powerful enemy readings.<br>Please defeat it immediately."""
NpcComOnSuccess#0,"""Enemy readings have disappeared, thanks to the efforts of you all."""
NpcComOnFailure#0,"""/face4 Engaged group readings have disappeared.<br>Attempting immediate teleportation to the Campship."""
HP_Under_50#0,"""The $(0) is getting weaker!"""
HP_Under_10#0,"""The $(0) has only a little strength left!"""
NpcComLastEnemy#0,"""There's one left!"""
NpcComOnBegin#1,"""This is urgent.<br>Powerful enemy readings have been detected.<br>Defeat it ASAP."""
NpcComOnSuccess#1,"""Disappearance of enemy readings has been confirmed.<br>Nicely done."""
NpcComOnFailure#1,"""Tch, they've taken a beating.<br>Teleporting them to Campship."""
HP_Under_50#1,"""The $(0) is getting weaker!"""
HP_Under_10#1,"""$(0) has little strength left!"""
NpcComLastEnemy#1,"""One left!<br>Don't lose focus!"""
NpcComOnBegin#2,"""U-urgent orders!<br>Powerful enemy readings confirmed!<br>Please, defeat it quickly!"""
NpcComOnSuccess#2,"""/face2 The enemy's readings have vanished!<br>Thanks a lot, everyone!"""
NpcComOnFailure#2,"""/face6 No! The engaged ARKS have suffered heavy damage...<br>Teleporting them to the Campship..."""
HP_Under_50#2,"""The $(0) is really getting weaker!"""
HP_Under_10#2,"""The $(0) has only got a tiny bit of strength left!"""
NpcComLastEnemy#2,"""/face2 One more!<br>One more!"""
NpcComOnBegin#3,"""Emergency broadcast.<br>Powerful enemy readings have been detected.<br>Initiate immediate countermeasures."""
NpcComOnSuccess#3,"""Enemy readings are gone.<br>Your mission is complete."""
NpcComOnFailure#3,"""You're unable to continue fighting.<br>Transferring you to the Campship."""
HP_Under_50#3,"""The vitals of the $(0) are diminishing."""
HP_Under_10#3,"""The $(0) has nearly exhausted its strength."""
NpcComLastEnemy#3,"""Only one enemy remaining."""
NpcComOnBegin#4,"""Emergency!<br>A powerful enemy reading has been detected!<br>Take immediate action to defeat it!"""
NpcComOnSuccess#4,"""Enemy readings have disappeared!<br>Thank you very much!"""
NpcComOnFailure#4,"""Continuing to engage this enemy poses an unacceptable risk!<br>Initiating evacuation!"""
HP_Under_50#4,"""The $(0)'s strength has decreased!"""
HP_Under_10#4,"""The $(0) has only a little strength left!"""
NpcComLastEnemy#4,"""There's one left!"""
NpcComOnBegin#5,"""Urgent notice!<br>Powerful enemy readings detected!<br>Take immediate action to defeat them!"""
NpcComOnSuccess#5,"""Confirmed, enemy readings have disappeared!<br>Thank you very much!"""
NpcComOnFailure#5,"""It's too dangerous to let you continue this mission!<br>Bringing you back now!"""
HP_Under_50#5,"""The $(0)'s strength is declining! Keep it up!"""
HP_Under_10#5,"""The $(0)'s strength is almost gone!"""
NpcComLastEnemy#5,"""There's one left!"""
