IncidentName#0,"""Defeat the impostor ARKS!"""
TrialBeginMsg#0,"""Defeat all of the enemies!"""
TrialAbstract#0,"""Defeat all of the enemies!"""
NpcComOnBegin#0,"""Sensing very strong enemy reading!<br>This reading is...<br>Please defeat them all somehow!"""
NpcComOnSuccess#0,"""With the hostile readings gone,<br>I was able to reacquire your<br>coordinates. Situation clear.<br>Return to your mission."""
NpcComOnFailure#0,"""Failure"""
NpcComOnBegin#1,"""Very powerful enemy reading!<br>Tsk, these look like trouble!<br>Eliminate them all before you return!"""
NpcComOnSuccess#1,"""Reading has disappeared.<br>Your coordinates have been<br>confirmed. Sending transfer<br>coordinates. Return home."""
NpcComOnFailure#1,"""Failure"""
NpcComOnBegin#2,"""Wow, there's a really strong signal!<br>Wait, these readings... is that...?!"""
NpcComOnSuccess#2,"""/face2 Wow, the reading has disappeared.<br>Good work everyone, sending<br>transfer coordinates now!"""
NpcComOnFailure#2,"""Failure"""
