IncidentName#0,"""Avoid the frenzied Visbolt!"""
TrialBeginMsg#0,"""Avoid the frenzied Visbolt's attack."""
TrialAbstract#0,"""Avoid the frenzied Visbolt."""
TrialLightningStrike#0,"""$(0) has been struck by lightning. $(1)/$(2) strikes."""
NpcComOnBegin#0,"""Confirming the appearance of a frenzied Visbolt!<br>It'll attack both allies and enemies indiscriminately!<br>Once it's locked on to you, it's almost impossible to shake off!"""
NpcComOnSuccess#0,"""/face2 The frenzied Visbolt has vanished!<br>We were able to minimise the damage it caused.<br>Excellent work!"""
NpcComOnFailure#0,"""/face4 The frenzied Visbolt has disappeared, but...<br>The damage it caused was immense.<br>Please don't push yourselves too hard."""
NpcComOnHitOtherPlayer#0,"""Are you OK?!<br>Its readings changed just before it struck.<br>Try to dodge at the last second!"""
NpcComOnLightningStrike#0,"""Are you OK?!<br>Its readings changed just before it struck.<br>Try to dodge at the last second!"""
NpcComOn60SecondLeft#0,"""One minute remains until the frenzied Visbolt expires!<br>Do your best to avoid it!"""
NpcComOn30SecondLeft#0,"""Just a little longer until the frenzied Visbolt disappears!"""
