name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""Ya veo, así que pisar este interruptor abre la barrera por un momento."""
skit02#0,"""¿Entonces pisar el interruptor abre la barrera por un corto período de tiempo?"""
skit03#0,"""Al pisar este interruptor se abre la barrera brevemente. Bastante simple."""
skit04#0,"""Así que pisar este interruptor abre la barrera por un momento."""
skit05#0,"""¿Qué es este iterruptor? A quién le importa, vamos a presionarlo!"""
skit06#0,"""Patty, ¿Intentarías usar tu cerebro ocasionalmente? Abre la barrera."""
skit07#0,"""Entonces este interruptor abre la barrera. Es tan obvio que hasta niño ouede resolver ese acertijo."""
skit01#1,"""/ci2 2 Ya veo, así que pisar este interruptor abre la barrera por un momento."""
skit02#1,"""/ci2 2 ¿Entonces pisar el interruptor abre la barrera por un corto período de tiempo?"""
skit03#1,"""/ci2 2 Al pisar este interruptor se abre la barrera brevemente. Bastante simple."""
skit04#1,"""/ci2 2 Así que pisar este interruptor abre la barrera por un momento."""
skit05#1,"""/ci2 2 ¿Qué es este iterruptor? A quién le importa, vamos a presionarlo!"""
skit06#1,"""/ci2 2 Patty, ¿Intentarías usar tu cerebro ocasionalmente? Abre la barrera."""
skit07#1,"""/ci2 2 Entonces este interruptor abre la barrera. Es tan obvio que hasta niño ouede resolver ese acertijo."""
