IncidentName#0,"""Defeat the $(0)!"""
TrialBeginMsg#0,"""Emergency directive! Defeat the<br>newly-appeared $(0)!"""
TrialAbstract#0,"""Defeat the<br>newly-appeared $(0)!"""
NpcComOnPreBegin#0,"""Confirmed $(0)<br>neutralization! That was great work!<br>... E-eh? What's this huge reading!?"""
NpcComOnBegin#0,"""This is urgent! We have confirmed<br>$(0) reinforcements!<br>We didn't see it approaching!"""
NpcComOnSuccess#0,"""/face2 We can now confirm that the $(0) has been totally eradicated!<br>Well done, everyone!"""
NpcComOnPreBegin#1,"""$(0) extermination<br>confirmed. Whew, that's that... No,<br>wait! What's with these readings!?"""
NpcComOnBegin#1,"""Urgent directive! $(0)<br>reinforcements have arrived! We<br>weren't aware of it until now!"""
NpcComOnSuccess#1,"""$(0) extermination<br>confirmed. Thanks for your cooperation, everyone."""
NpcComOnPreBegin#2,"""/face2 We did it! The $(0) has<br>been eliminated! Oh, wait...<br>What's this? I'm seeing another big reading!"""
NpcComOnBegin#2,"""Oh, my! $(0)!? Another<br>one? When did you show up?"""
NpcComOnSuccess#2,"""/face2 Whew, we managed to repel the<br>$(0). Good job!"""
NpcComOnPreBegin#3,"""$(0) defeated.<br>...But there's another<br>reading approaching."""
NpcComOnBegin#3,"""Emergency directive.<br>Destroy the $(0)<br>that just appeared."""
NpcComOnSuccess#3,"""Confirmed, emergency directive<br>complete. The $(0)<br>readings have disappeared."""
NpcComOnPreBegin#4,"""Confirmed, $(0) down!<br>...But I feel like there's<br>something else coming!"""
NpcComOnBegin#4,"""Emergency order!<br>Defeat the $(0)!<br>We're making you fight<br>multiple battles in a row,<br>so please be careful!"""
NpcComOnSuccess#4,"""$(0) repulsion confirmed,<br>thank you! I'm so glad you<br>were successful!"""
NpcComOnPreBegin#5,"""Confirmed, $(0) down!<br>...But I feel like there's<br>something else coming!"""
NpcComOnBegin#5,"""Emergency order!<br>Defeat the $(0)!<br>We're making you fight<br>multiple battles in a row,<br>so please be careful!"""
NpcComOnSuccess#5,"""$(0) repulsion confirmed,<br>thank you! I'm so glad you<br>were successful!"""
