IncidentName#0,"""Destroy the Corrupted Gunship"""
TrialBeginMsg#0,"""Destroy the Darker-Infected Gunship!"""
EnemyAppearMsg#0,"""Incoming enemies from the $(0)!"""
TrialEvolutionBeginMsg_ReLanding#0,"""Protect the gunship again until repairs are complete!"""
TrialEvolutionBeginMsg_ShootDarkerHeli#0,"""Destroy the Darker-Infected Gunship!"""
TrialAbstract#0,"""Destroy the Darker-infected gunship <br>within the time limit!"""
NpcComOnBegin#0,"""/face3 How in the world?! One of our gunships got corrupted by the Darkers!"""
NpcComOnBegin2#0,"""Destroy the affected machine before the corruption can fully take hold!"""
NpcComOnHp50#0,"""Be careful.<br>The Darker corruption is progressing rapidly."""
NpcComOnHp10#0,"""Only a little more until the corrupted gunship is destroyed."""
NpcComOnLanding#0,"""Unused"""
NpcComOnTimeNotice#0,"""……侵食レベルがかなり深刻だ。<br>破壊を急げ、奪われてしまうぞ！"""
NpcComOnSuccess#0,"""侵食戦闘機の破壊を確認。<br>よくやってくれた。"""
NpcComOnFailure#0,"""……戦闘機の反応、消失。<br>ダーカーめ、アレを奪って<br>何をする気だ……？"""
