name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""Muy bien, intentemos derribar tantas como podamos para obtener una mejor puntuación."""
skit02#0,"""Vamos a tratar de derrotar al enemigo, pero la batalla es nuestro principal objetivo..."""
skit03#0,"""Entonces, ¿Se supone que debemos asesinar a todo lo que veamos? Suena bastante fácil."""
skit04#0,"""Supongo que solo tenemos que derrotar a todos los que podamos. Vamos, compañero."""
skit05#0,"""Bien, empecemos. ¡Vamos a ignorar a estos tipos y soplar esto lo más rápido posible!"""
skit06#0,"""Um, Patty?, ¿No sabes que el objetivo de está batalla es luchar contra los enemigos?"""
skit07#0,"""Vamos a derribar todo lo que nos llegue. Simple como eso."""
skit01#1,"""/ci2 2 Muy bien, intentemos derribar tantas como podamos para obtener una mejor puntuación."""
skit02#1,"""/ci2 2 Vamos a tratar de derrotar al enemigo, pero la batalla es nuestro principal objetivo..."""
skit03#1,"""/ci2 2 Entonces, ¿Se supone que debemos asesinar a todo lo que veamos? Suena bastante fácil."""
skit04#1,"""/ci2 2 Supongo que solo tenemos que derrotar a todos los que podamos. Vamos, compañero."""
skit05#1,"""/ci2 2 Bien, empecemos. ¡Vamos a ignorar a estos tipos y soplar esto lo más rápido posible!"""
skit06#1,"""/ci2 2 Um, Patty?, ¿No sabes que el objetivo de está batalla es luchar contra los enemigos?"""
skit07#1,"""/ci2 2 Vamos a derribar todo lo que nos llegue. Simple como eso."""
