Begin#0,"""/ci2 1 オーザ開始"""
Success#0,"""/mn1 /ci2 2 オーザ成功"""
Failure#0,"""/mn1 /ci2 2 オーザ失敗"""
Dead#0,"""/mn1 /ci2 2 オーザ自分死亡"""
BuddyDead#0,"""/mn1 /ci2 2 オーザ相手死亡"""
Evolution#0,"""/mn1 /ci2 2 オーザ発展"""
Begin#1,"""/ci1 1 We were just out looking for that rumored cake shop, what the hell's going on?! Unlucky to the very last!"""
Success#1,"""/mn11 /ci1 2 Phew, it's over... Hm?<br>Hey, wait a minute, where are you going?! It's dangerous for a Force to travel alone!"""
Failure#1,"""/ci1 2 Sorry, you'll have to let us retreat ahead of you this time!"""
Dead#1,"""/ci3 1 No... We haven't even seen the cake shop yet... It can't end here...!"""
BuddyDead#1,"""/ci3 1 Tch... Damn it! If only I was able to protect you!"""
Evolution#1,"""/mn22 /ci3 1 Tch, come on! We only came here because we wanted a cake!"""
Begin#2,"""/toge /ci2 2 <%me>!<br>Let us lend you a hand as well!"""
Success#2,"""/toge /ci1 5 Leave this area to us! You've got things you need to do. Hurry now, go on ahead!"""
Failure#2,"""I'm sorry... I wasn't able to return the favour to you...!"""
Dead#2,"""Damn... This can't be it...!"""
BuddyDead#2,"""Marlu!"""
