IncidentName#0,"""¡Protege la pastelería Naura!"""
TrialBeginMsg#0,"""¡Protege las cajas que estan dispersos!"""
TrialAbstract#0,"""¡Protege las cajas que estan dispersos!"""
ToastOnSuccess#0,"""$(0) está abierto para los negocios."""
ToastOnDestroy#0,"""Se ha destruido una cajas. Quedan $(0)."""
ToastOnAllDestroy#0,"""Todas las cajas han sido destruidas."""
OnBegin#0,"""/mn13 /ci5 5 t5 ......En el universo entero no hay más que idiotas. No necesitamos tu ayuda"""
OnDamage#0,"""/mn13 ...Las cajas se van a romper.<br>... Qué desperdicio."""
OnDestroy#0,"""/mn13 ...En pedazos... Totalmente destrozados."""
OnAllDestroy#0,"""/ci5 3 t5 /mn13 .....Ya no hay nada que vender."""
OnSuccess#0,"""/ci1 1 t5 ......Genial, ahora compra algo de pastel."""
OnBegin#1,"""/mn2 /toge /ci3 1 t5 Hawa, wawawa!, ¡Que alguien nos ayude por favor!"""
OnDestroy#1,"""/toge /mn1 ¡Se ha arruinado!<br>Están destruyendo nuestra mercancía..."""
OnAllDestroy#1,"""/mn2 /ci4 3 t5 ¿Por qué? ¡De todas las cosas que pueden pasar!<br>Ahora no podemos abrir la tienda..."""
OnLastOne#0,"""/toge Ahhhh! Uh, Quiero decir...<br>¡Solo queda una caja!<br>Esto es malo, ¡Esto es muy malo!"""
OnSuccess#1,"""/ci2 2 t5 Uff... Estamos a salvo"""
OnFailure#0,"""/mn23 /ci4 t5 Bueno, supongo que eso es todo. Regresaré a casa con tristeza."""
OnBegin#2,"""/mn2 /ci2 2 t5 ¡Wow, esto es increíble!<br>¡Mira! Alguien, protege nuestra mercancía!"""
OnDestroy#2,"""/mn13 Oh cariño, están rotos...<br>Me pregunto qué los rompió."""
OnAllDestroy#2,"""/mn22 /ci3 1 t5 ¡Se perdieron todas!, ¡No podemos abrir la tienda sin nuestra mercancía!"""
OnSuccess#2,"""/mn15 /ci2 1 t5 ¡Uf, gracias!<br>¡Hemos sobrevivido!"""
