IncidentName#0,"""¡Destruye el Gel Wulff!"""
TrialBeginMsg#0,"""Derrota o evadir los Gel Wulff.<br>Fallas si finaliza el tiempo limite después de ser golpeado $(0) o mas veces sin destruirlos."""
TrialAbstract#0,"""Derrotar a Gel Wulff<br>o evade durante el tiempo asignado."""
TrialOutbreak#0,"""¡$(0) ha sido golpeado por un Gel Wulff!"""
NpcComOnBegin#0,"""Alerta. Hemos confirmado la aparición de los Gel Wulffs."""
NpcComOnBeginAtRareCase#0,"""Alerta. Hemos confirmado la aparición de los Gel Wulffs."""
NpcComOnBeginEmplacement#0,"""Transferencia de cañones photon completada. Deberías ser capaz de destruir los Gel Wulffs con ellos, pero si eso no es posible, concentrese en evitarlos."""
NpcComOnSuccess#0,"""Todos los Gel Wulffs han desaparecido. Bien hecho."""
NpcComOnSuccessDestroy#0,"""Usted ha tenido exito en la destrucción de los Gel Wulffs."""
NpcComOnFailure#0,"""/face4 Los daños causados por los<br>Gel Wulffs ha alcanzado niveles criticos!<br>Esto es más de lo que podemos sostener"""
NpcComOnTarget#0,"""¡$(0), cuidado!, ¡Estas en la mira!"""
NpcComOnTime1#0,"""Los Gel Wulffs no van a durar mucho tiempo! Aguanta hasta entonces!"""
NpcComOnTime2#0,"""¡Asi se hace!, ¡Los gel Wulffs se quedaran sin energia pronto!, ¡Evitalos un poco mas!"""
NpcComOnHit#0,"""Confirmo que el Cañon de photones es eficiente. Justo como lo planeamos, podemos usar esto para derrotarlos """
NpcComDeadEmplacement#0,"""Transfiriendo otro Cañon de photones."""
NpcComOnRepop#0,"""¡Confirmo la reaparición de los<br>Gel Wulffs!, ¡Todo el mundo!, ¡Mantengan los<br>ojos abiertos!."""
