IncidentName#0,"""Defeat all enemies!"""
TrialBeginMsg#0,"""Defeat all enemies in time!"""
TrialAbstract#0,"""Defeat all enemies in time!"""
Toast75EnemyMsg#0,"""75 remaining!"""
Toast50EnemyMsg#0,"""50 remaining!"""
Toast25EnemyMsg#0,"""25 remaining!"""
Toast10EnemyMsg#0,"""10 remaining!"""
NpcComOnBegin#0,"""Confirmed, numerous hostile readings nearby!<br>Defeat as many as you can within the time limit!<br>Try to wipe them all out!"""
NpcComOnDefeatedHalfEnemy#0,"""The number of enemies has decreased significantly!<br>You're doing very well!"""
NpcComOnTimeLimit30#0,"""30 seconds left!<br>You're on the home stretch!"""
NpcComOnDefeatedAllEnemy#0,"""All hostile readings have disappeared!<br>Wonderful work!"""
NpcComOnSuccess#0,"""Time's up!<br>Confirming withdrawal of enemy forces!<br>Thank you for all your hard work!"""
