IncidentName#0,"""Runaway $(0) Capture"""
TrialBeginMsg#0,"""Defeat $(1) of the escaping $(0)!<br>Fail if more than $(2) escape."""
TrialAbstract#0,"""Subdue the runaway $(0)!"""
TrialBeginMsgForKeyII#0,"""Defeat $(1) of the escaping $(0)!"""
NpcComOnBegin#0,"""Confirmed runaway $(0)<br>presence. Please defeat them before <br>they escape so we can study their <br>strange behaviour."""
NpcComOnBeginAtRareCase#0,"""Confirmed $(0) presence.<br>Relaying an urgent defeat request.<br>Your assistance is appreciated!"""
NpcComOnSuccess#0,"""/face2 Confirmed $(0)<br>data acquisition.<br>Thanks for your cooperation."""
NpcComOnFailure#0,"""We lost them.<br>Though the data gathering failed,<br>we thank you for your cooperation."""
NpcComOnBegin#1,"""A lot of $(0) have<br>appeared! Please collect data<br>from them before they escape!"""
NpcComOnBeginAtRareCase#1,"""Some $(0) have appeared!<br>We've been asked to collect data<br>from them! Thanks in advance!"""
NpcComOnSuccess#1,"""$(0) data received.<br>Good work, everyone!"""
NpcComOnFailure#1,"""We've lost sight of them...<br>But we got some valuable<br>data just from the encounter!"""
