IncidentName#0,"""Exterminate All Targets!"""
TrialBeginMsg#0,"""Emergency directive! Defeat all <br>of the enemies, including $(0)!"""
TrialAbstract#0,"""Emergency directive! Defeat all <br>of the enemies, including $(0)!"""
TargetName#0,"""Enemy Extermination"""
NpcComOnBegin#0,"""Enemy reinforcements have been<br>confirmed! Everyone, maintain<br>combat formation and take them out!"""
NpcComOnSuccess#0,"""/face2 Good work! We appreciate<br>you all thinking on your feet<br>to deal with this situation!"""
NpcComOnBegin#1,"""We've got some extra enemies...<br>Everyone, stay as you are and <br>take out the newcomers too."""
NpcComOnSuccess#1,"""Good, you took care of it.<br>You responded to the <br>emergency adequately, too."""
NpcComOnBegin#2,"""Umm, something else is coming?<br>Everyone, be extra careful! <br>Something is on its way!"""
NpcComOnSuccess#2,"""/face2 I-it's over, somehow! What<br>a relief. That was good."""
NpcComOnBegin#3,"""敵性存在の追加出現を確認。<br>各員は目標の排除を。"""
NpcComOnSuccess#3,"""目標消失、任務完了。<br>適切な対応でした。"""
NpcComOnBegin#4,"""新たな敵性反応が出現です！<br>同時に相手するしかなさそうですね……<br>よろしくお願いします！"""
NpcComOnSuccess#4,"""周囲の敵性反応は全て消失しました！<br>これで一段落ですね！<br>お疲れさまです！"""
