IncidentName#0,"""¡Capturar a: $(0)!"""
TrialBeginMsg#0,"""¡Captura a $(0), usando el dispositivo de captura!"""
TrialAbstract#0,"""¡Captura a $(0), usando el dispositivo de captura!"""
ToastOnRestTryCaptureNum#0,"""Veces en las que se puede usar el dispositivo de captura\u3000$(0) Veces."""
ToastOnUselessAccess#0,"""Actualmente los dispositivos de captura no pueden ser activados"""
NpcComOnBegin#0,"""$(0)ですっ！<br>専用の装置を使って<br>捕まえちゃってくださいー！"""
NpcComOnAfterBegin#0,"""捕獲装置は$(0)に出しました！<br>Ayúdanos de alguna manera a capturarlo, ¡Gracias!<br>"""
NpcComOnSuccess#0,"""/face2 ¡Captura exitosa del objetivo!<br>¡Fue increíble!, ¡Maravilloso!"""
NpcComOnFailure#0,"""/face6 Supongo fue difícil de cumplir...<br>Por favor regresa a tus labores normales."""
NpcComOnEnableCapture#0,"""対象を捕獲有効範囲内に捕捉！<br>今です！<br>捕獲装置の起動を！"""
NpcComOnCaptureSwitch#0,"""タイミングはいいですよー。<br>あとは対象を有効範囲内で<br>がっちり抑えてください！"""
NpcComOnDisableCapture#0,"""/face4 今は捕獲装置が使えないんですー！<br>まずは対象を範囲内に<br>誘導しましょうー！"""
NpcComOnSuccessCapture#0,"""/face2 対象の捕獲、成功です－！<br>転送してしまいますからねー！"""
NpcComOnFailedCapture#0,"""/face4 ¡Oh no! Fallo la captura!<br>Por favor ten cuidado, el dispositivo de<br>captura tiene un rango de efectividad"""
NpcComOnAttackTarget#0,"""/face4 ¡No!, ¡Por favor para!, ¡Se<br>supone que solo estas para capturarlo!<br>por favor evita atacar a el objetivo"""
NpcComOnDeadTarget#0,"""/face6 Las lecturas biológicas del objetivo,<br>desaparición... ...Bueno, será en<br>una próxima oportunidad."""
NpcComOnLastCapture#0,"""El dispositivo de transferencia ahora<br>tiene bajo poder... Solo queda una oportunidad más<br>¡Por favor ten cuidado!"""
NpcComOnBegin#1,"""$(0)の<br>出現を確認しました。<br>目標の捕獲をお願いします。"""
NpcComOnAfterBegin#1,"""捕獲装置を$(0)に転送。<br>対象を誘導の後、捕獲。<br>指令は以上です。"""
NpcComOnSuccess#1,"""対象の捕獲を確認。<br>迅速な対処、感謝します。"""
NpcComOnFailure#1,"""捕獲任務は失敗と判断。<br>通常任務にお戻りください。"""
NpcComOnEnableCapture#1,"""捕獲有効範囲内に対象を確認。<br>捕獲装置を起動してください。"""
NpcComOnCaptureSwitch#1,"""タイミングは問題なし。<br>後は、対象を有効範囲内で<br>捉えるように。"""
NpcComOnDisableCapture#1,"""今、捕獲装置は使用不可能です。<br>まずは対象を捕獲範囲内に<br>誘導してください。"""
NpcComOnSuccessCapture#1,"""対象捕獲、確認。<br>転送シーケンスに移ります。"""
NpcComOnFailedCapture#1,"""捕獲失敗を確認。<br>捕獲装置の有効範囲を確認し<br>再度、捕獲を行ってください。"""
NpcComOnAttackTarget#1,"""再確認。目的は対象の捕獲です。<br>捕獲対象を攻撃しないように。"""
NpcComOnDeadTarget#1,"""捕獲対象、反応消失しました。<br>捕獲はまた、次の機会に。"""
NpcComOnLastCapture#1,"""転送装置負荷限界まで<br>あと1回となります。<br>慎重な試行を求めます。"""
