IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Directris de emergencia!<br>Derrota el $(0)!"""
TrialAbstract#0,"""Derrota a $(0) que aparecio en la zona!"""
NpcComOnPreBegin#0,"""Nyau esta escapando ... Espera! Su retiro esta causando algun tipo de distorsion espacial! Por favor, tenga cuidado!"""
NpcComOnBegin#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnFailure#0,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin_Other#0,"""Nyau esta escapando ... Espera! Su retiro esta causando algun tipo de distorsion espacial! Por favor, tenga cuidado!"""
NpcComOnBegin_Other#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Other#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnFailure_Other#0,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin_Darker#0,"""Nyau esta escapando ... Espera! Su retiro esta causando algun tipo de distorsion espacial! Por favor, tenga cuidado!"""
NpcComOnBegin_Darker#0,"""$(0)の出現を確認しました。<br>連戦となりますが、各員迎撃を<br>お願いします。"""
NpcComOnSuccess_Darker#0,"""Tienes nuestro agradecimiento por hacerles frente."""
NpcComOnFailure_Darker#0,"""/face4 Esta situacion es un fracaso.<br>Todos, porfavor regresen<br>a la mision."""
NpcComOnPreBegin#1,"""Nyau se escapo ... Espera, ¿que? Estamos recogiendo una distorsion en el lugar por donde escapo. Cuidado, algo viene!"""
NpcComOnBegin#1,"""Tch, que dolor. Preparese para luchar, un hostil acaba de aparecer!"""
NpcComOnSuccess#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnFailure#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin_Other#1,"""Nyau se escapo ... Espera, ¿que? Estamos recogiendo una distorsion en el espacio por donde escapo. Cuidado, algo viene!"""
NpcComOnBegin_Other#1,"""Tch, que dolor. Preparese para luchar, un hostil que acaba de aparecer!"""
NpcComOnSuccess_Other#1,"""Las lecturas se han ido. Usted maneja ese ataque sorpresa con aplomo."""
NpcComOnFailure_Other#1,"""/face6 ……失敗か。<br>各員、通常任務に戻れ。"""
NpcComOnPreBegin_Darker#1,"""Nyau se escapo ... Espera, ¿que? Estamos recogiendo una distorsion en el espacio por donde escapo. Cuidado, algo viene!"""
NpcComOnBegin_Darker#1,"""Tch, que dolor. Preparese para luchar, un hostil que acaba de aparecer!"""
