IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""¡Derrotar a $(0)!"""
TrialAbstract#0,"""¡Derrotar a $(0)!"""
NpcComOnBegin#0,"""Directiva urgente.<br>Confirmada poderosas presencias enemigas.<br>Por favor derrotar inmediatamente."""
NpcComOnSuccess#0,"""/face2 Las lecturas enemigas han desaparecido,<br>gracias a tu arduo trabajo."""
NpcComOnFailure#0,"""/face4 Lecturas de grupo que participan<br>han desaparecido. teletransporta<br>inmediata al Campship."""
HP_Under_50#0,"""¡El $(0) se está cansando!"""
HP_Under_10#0,"""¡A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#0,"""¡Queda uno!"""
NpcComOnBegin#1,"""¡U-urgentes!, ¡Potentes lecturas<br>enemigas confirmadas!<br>¡Por favor, derrotalos rapidamente!"""
NpcComOnSuccess#1,"""/face2 ¡Las presencias enemigas<br>han desaparecido!, ¡Muchas<br>gracias a todos!"""
NpcComOnFailure#1,"""/face6 ¡No! Los ARKS han sufrido<br>graves daños...<br>Teletransportelos al Campship..."""
HP_Under_50#1,"""¡$(0) se está debilitando!"""
HP_Under_10#1,"""$(0) le queda muy poca fuerza!"""
NpcComLastEnemy#1,"""/face2 ¡Uno mas!, ¡Uno mas!"""
NpcComOnBegin#2,"""Fuertes Señales enemigas detectadas!, ¡Derrótalos rápidamente!"""
NpcComOnSuccess#2,"""Las Señales enemigas se desvanecen. ¡Felicidades!"""
HP_Under_50#2,"""¡Su fuerza ha disminuido!, ¡Se está volviendo más débil!"""
HP_Under_10#2,"""Solo un poco más.<br>¡Sígue asi!"""
