IncidentName#0,"""リリーパ族の宝探し"""
TrialBeginMsg#0,"""宝を探すリリーパ族を最後まで守り抜け！"""
TrialAbstract#0,"""宝を探すリリーパ族を最後まで守り抜け！"""
NpcComOnBegin#0,"""今、現れたリリーパ族……<br>何かを探しているみたいですね。"""
NpcComOnBeginNext#0,"""Veo que... Parece que el Lillipan esta buscando por algun tipo de  tesoro. Por favor mantenganlo sano y salvo, todo lo que puedas."""
NpcComOnSuccess#0,"""It seems to have found what it was looking for. There's no need to keep protecting it now. Por favor, vuelve a la misión principal"""
NpcComOnFailure#0,"""Is the Lillipan alright?...Excuse me. It's unfortunate, but you've failed to protect it. Por favor, vuelve a la misión principal"""
NpcComOnFindPlayer#0,"""あそこが、リリーパ族の目指している<br>目標地点のようですね。"""
NpcComOnFindLilipa#0,"""リリーパ族が目標地点を<br>発見したようです。"""
NpcComOnArrivalFirst#0,"""The Lillipan has arrived at its destination. Hostiles are converging on your location. Ten cuidado, and Por favor keep the Lillipan safe."""
NpcComOnArrivalNext#0,"""再びリリーパ族が発掘を始めました。<br>何を探しているんでしょう……<br>失礼。引き続き警戒をしてください。"""
NpcComOnArrivalFinal#0,"""ここが最後の地点のようですね。<br>気を抜かず、最後までリリーパ族を<br>守ってあげましょう。"""
NpcComOnSearchFailure#0,"""この目標地点では、目的としている<br>宝物が見つからなかったようですね。"""
NpcComOnJoin#0,"""We are currently escorting a Lillipan as it digs for treasures and relics. Por favor help out if you can."""
NpcComOnBegin#1,"""そのリリーパ族は……<br>どうやら、何かを探しているようだな。"""
NpcComOnBeginNext#1,"""そのリリーパ族はガラクタから<br>宝物を発掘するつもりのようだ。<br>可能な限り護衛してやれ。"""
NpcComOnSuccess#1,"""It looks like the Lillipan found what it was looking for. There's no need to keep defending it. Regresa a la misión principal."""
NpcComOnFailure#1,"""Fallastes en la protección del Lillipan. Bueno, estas cosas suceden. Regresa a la misión principal."""
NpcComOnFindPlayer#1,"""リリーパ族の目標としている場所は<br>あそこのようだ。"""
NpcComOnFindLilipa#1,"""リリーパ族が目標地点を<br>発見したようだ。"""
NpcComOnArrivalFirst#1,"""リリーパ族は発掘に夢中だな。<br>……こういう時に何かが起こる。<br>周辺警戒を怠るなよ。"""
NpcComOnArrivalNext#1,"""リリーパ族はまた発掘を始めたようだ。<br>……先程と同じ状況だ。<br>周囲の敵影に気をつけろ。"""
NpcComOnArrivalFinal#1,"""ここが最終地点のようだな。<br>最後まで気を抜くなよ。"""
NpcComOnSearchFailure#1,"""ふむ……ここでは目的の物が<br>見つからなかったようだな。"""
NpcComOnJoin#1,"""遺物発掘を行っているリリーパ族の<br>護衛を行っている。<br>可能なら協力してやれ。"""
NpcComOnBegin#2,"""おややっ？\u3000あれ、リリーパ族ですね。<br>何か探してるみたいですけど……"""
NpcComOnBeginNext#2,"""うーん、どうやらがらくたの中から<br>宝物とかを探し出す気みたいです。<br>できるだけ守ってあげてもらえますか？"""
NpcComOnSuccess#2,"""/face2 やりました！\u3000無事宝物を見つけ出せた<br>みたいですよ！\u3000お疲れ様でした！"""
NpcComOnFailure#2,"""Oh no... Ese pobre Lillipan... Fallastes en mantenerlo a salvo. Por favor, vuelve a la misión principal"""
NpcComOnFindPlayer#2,"""あれが、目標地点みたいですね！"""
NpcComOnFindLilipa#2,"""おやっ、リリーパ族が目標地点を<br>見つけたみたいですよー！"""
NpcComOnArrivalFirst#2,"""The Lillipan has begun to dig! The enemies will probably be here soon, so Por favor keep an eye out for them!"""
NpcComOnArrivalNext#2,"""再びリリーパ族が発掘開始です！<br>さっきと同様、敵さんに警戒ですよー！"""
NpcComOnArrivalFinal#2,"""This looks like the last place! Por favor keep protecting it!"""
NpcComOnSearchFailure#2,"""この地点はハズレ、みたいです。<br>次の場所に向かうようですよー。"""
NpcComOnJoin#2,"""We're in the middle of escorting a Lillipan right now. If you can, Por favor meet up with the other ARKS and join the misión!"""
OnFun#0,"""LiLi!!"""
OnFind#0,"""/mn38  りり！"""
OnDrop#0,"""りり！？"""
OnDamage#0,"""/mn2 りり……"""
OnMove#0,"""/mn17 Lili! Lili!"""
OnSuccess#0,"""/ci2 1 /mn38 Lili! Lili!"""
OnDie#0,"""りぃ……りりり……"""
