IncidentName#0,"""Defeat the $(0)"""
TrialBeginMsg#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
TrialAbstract#0,"""Defeat any $(0) you find!<br>You will fail if $(1) is incapacitated twice."""
NpcComOnFailure#0,"""残念ですが、仕方がありません。<br>対象のアークスは、こちらで回収を<br>行います。"""
NpcComOnDownB#0,"""対象アークスには多大な負担が<br>かかっています。次の失敗時には<br>撤退を推奨させてもらいます。"""
NpcComOnFailure#1,"""……ここまでだな。<br>対象のアークスはこちらで回収を行う。"""
NpcComOnDownB#1,"""対象のアークスに負担が大きい。<br>次、戦闘不能になった場合には<br>強制的に対象を撤退させるぞ。"""
NpcComOnFailure#2,"""……うう、残念ですがここまでです。<br>対象のアークスはこちらで回収を<br>行いますー！"""
NpcComOnDownB#2,"""一緒に戦っているアークスに負担が<br>かかりすぎています！\u3000次には<br>撤退させるので注意してくださいー！"""
NpcComOnFailure#3,"""残念ですが、失敗は失敗。<br>対象アークスは回収します。"""
NpcComOnDownB#3,"""対象アークスの負担、甚大です。<br>次の失敗時には強制的な撤退を<br>遂行予定となります。"""
