IncidentName#0,"""Destroy the Phantom Flying Fortress!"""
TrialBeginMsg#0,"""Destroy the Phantom Flying Fortress within the time limit!"""
TrialAbstract#0,"""Destroy the Phantom Flying Fortress within the time limit!"""
NpcComOnBegin1#0,"""巨大な浮遊要塞の幻創種、上空に出現！<br>ライドロイドで迎撃してください！"""
NpcComOnBegin2#0,"""幻創浮遊要塞のコアを叩いてください！<br>周囲にある制御装置を破壊すれば<br>コアが露出します！"""
NpcComOnSuccess#0,"""幻創浮遊要塞を具現していた<br>大量のエーテル、拡散していきます！<br>なんとかなりましたね！"""
NpcComOnFailure#0,"""砲塔から攻撃が来ます！<br>気をつけてください！"""
NpcComRemHalf#0,"""制御装置残存数、あと半分です！<br>全部破壊してしまえば<br>コアが出てくるはずです！"""
NpcComRemZero#0,"""砲塔付近にコアが現れました！<br>コアへ集中攻撃をお願いします！"""
NpcComOnHPLE50#0,"""幻創浮遊要塞のエーテル量、減衰！<br>コアへの攻撃が効いていますね！<br>あともうひと押しです！"""
NpcComOnTime50#0,"""中央の砲塔が展開されました！<br>強力な攻撃が予想されます！<br>急いで浮遊要塞の破壊を！"""
NpcComOnTime10#0,"""砲塔へのエネルギーチャージ<br>完了間近な反応です！<br>急いでください！"""
