IncidentName#0,"""リリーパ族を護衛せよ！"""
TrialBeginMsg#0,"""Proteger a los Lillipans peligro de extinción!"""
TrialAbstract#0,"""Proteger a los Lillipans peligro de extinción!"""
NpcComOnBegin#0,"""¡Oh no! Ha volado...<br>Uno de ellos ha regresado, pero...<br>¿Donde está la otra?..."""
NpcComOnAfterBegin#0,"""Parece que está buscando a alguien.<br>¡Ayudemosle!"""
NpcComOnFirstPoint#0,"""Me pregunto si sabe donde estan<br>sus amigos? debes continuar<br>con el."""
NpcComOnPinch#0,"""Enemigo aproximandose a los Lillipans!<br>Por favor ayudales!"""
NpcComOnWalk1#0,"""/face2 Son tan lindos...<br>Ah, n-no, no dije nada!"""
NpcComOnWalk2#0,"""Si... Sus cuerpos no son muy adecuados<br>para este planeta. Me pregunto<br>como se las arreglan para vivir aquí."""
NpcComOnWalk3#0,"""/face2 Es tan esponjoso, ¿Verdad?<br>no, olvida lo que dije por favor!"""
NpcComOnSuccess#0,"""/face2 Parece que se ha unido a los<br>demas!, ¡Buen trabajo!"""
NpcComOnFailure#0,"""/face4 Oh... Se escapo. Eso es lamentable."""
