name01#0,"""オーザ"""
name02#0,"""マールー"""
name03#0,"""リサ"""
name04#0,"""アフィン"""
name05#0,"""パティ"""
name06#0,"""ティア"""
name07#0,"""サラ"""
skit01#0,"""Terminemos esto. ¡Necesitamos derrotarlos antes de que se abra la valla!"""
skit02#0,"""Si derrotamos todo antes de que se abra la valla."""
skit03#0,"""Estamos atrapados aquí? Parece que eso solo lo hace más divertido."""
skit04#0,"""Estamos encerrados? No soy fan de pelear en lugares difíciles."""
skit05#0,"""Parece que estamos atrapados. ¡Terminemos esto!"""
skit06#0,"""Pero estamos atrapados aquí también. Necesitamos ser más cuidadosos"""
skit07#0,"""Estamos atrapados, pero eso en realidad hace las cosas más fáciles."""
skit01#1,"""/ci2 2 Terminemos esto. ¡Necesitamos derrotarlos antes de que se abra la valla!"""
skit02#1,"""/ci2 2 Si derrotamos todo antes de que se abra la valla."""
skit03#1,"""/ci2 2 Estamos atrapados aquí? Parece que eso solo lo hace más divertido."""
skit04#1,"""/ci2 2 Estamos encerrados? No soy fan de pelear en lugares difíciles."""
skit05#1,"""/ci2 2 Parece que estamos atrapados. ¡Terminemos esto!"""
skit06#1,"""/ci2 2 Pero estamos atrapados aquí también. Necesitamos ser más cuidadosos"""
skit07#1,"""/ci2 2 Estamos atrapados, pero eso en realidad hace las cosas más fáciles."""
