IncidentName#0,"""Unified Enemy Assault"""
TrialBeginMsg#0,"""Defeat all of the enemies, including<br>the newly-arrived reinforcements!"""
TrialAbstract#0,"""Defeat all of the enemies, including<br>the newly-arrived reinforcements!"""
NpcComOnBegin#0,"""Detecting a new enemy<br>presence approaching!<br>Please exterminate them all!"""
NpcComOnSuccess#0,"""/face2 Confirmed extermination of<br>enemy presence! Great work!"""
NpcComOnBegin#1,"""Looks like we've got some<br>new arrivals. Exterminate the<br>entire enemy presence."""
NpcComOnSuccess#1,"""The enemy presence has<br>vanished. Nicely done."""
NpcComOnBegin#2,"""Oh, it seems newcomers have<br>arrived! Please defeat them all!"""
NpcComOnSuccess#2,"""/face2 Confirmed that enemy readings<br>have vanished! Thanks a lot!"""
NpcComOnBegin#3,"""Detecting the appearance of<br>a new enemy. Your objective<br>is to destroy all targets."""
NpcComOnSuccess#3,"""All hostile readings have<br>disappeared. Good work."""
NpcComOnBegin#4,"""Oh, a new one showed<br>up! Take 'em all out!"""
NpcComOnSuccess#4,"""Confirmed, all hostile readings have<br>disappeared! Good work, everyone!"""
