name01#0,"""カリン"""
linewindow#0,"""<br>Acerca de Los objetos virtuales de Extreme Quest<br>"""
text00#0,"""Acerca de Los objetos virtuales de Extreme Quest"""
text07#0,"""Esto explicará acerca de la caida de objetos<br><br>Los enemigos que aparecen en los Niveles, se replican de forma artificial<br><br>Debido a eso, los objetos son muy difíciles de replicar, y ellos son inestables cuando aparecen.<br><br>Ese tipo de elementos aparecen con un icono especial."""
text08#0,"""Los objetos que caen con ese icono especial, no entran en su inventario cuando se recogen. Dado que sus datos son inestables, se almacenan como Objetos virtuales en un almacen especial.<br><br><yellow>Los objetos virtuales almacenados en este almacen especial desaparecerán cuando regrese a Campship. Solamente cuando usted termina una Misión, puede usted tomar un número fijo de ellas en la terminal extreme.<c>"""
text09#0,"""Esto explicará sobre las órdenes de los Escenario.<br><br>Durante la Extreme Quests, le daremos órdenes experimentales durante cada Escenario, conocida como \""Stage Order\"".<br><br>Al cumplir con estas órdenes, aumentará el número de objetos que los enemigos botan cuando los derrotas.<br><br>Además, cada vez que cumpla una cierta cantidad de ordenes, la cantidad de objetos que puede llevar aumentara cuando complete la misión."""
text10#0,"""Existen ciertas órdenes de escena que requieren que el jugador no utilice ningún efecto de recuperación para completarlas.<br><br><yellow>*Sin embargo, los efectos de recuperación de su Mag, los que se activan automáticamente a partir de una habilidad o los de Cash Shop son excepciones a está regla.<c>"""
text11#0,"""Esto explicará [Cambios de Habilidad Hostil].<br><br>En Extreme Quests, hemos fortalecido artificialmente a los enemigos para crear un ambiente duro para la Quest. Este fortalecimiento se llama [Cambios de Habilidad Hostil].<br><br>Sin embargo, un Cambio de Habilidad Hostil que fortalecería las resistencias de un enemigo puede ser invertido completando una [Orden de Escenario] en el Escenario anterior, convirtiéndola en una ventaja para el jugador."""
skit01#0,"""Porque sentí que era demasiado fácil, he añadido desafíos adicionales de<br>escenario en escenario!"""
skit01_01#0,"""せっかくなので、各ステージに<br>私の方から<c f46b41>ステージオーダー<c>という<br>実験課題を出させてもらってますよー。"""
skit02#0,"""Definitivamente hace el escenario más difícil, pero si completas<br>el desafío, puedes debilitar al enemigo siguiente,<br>o producir nuevos datos!"""
skit03#0,"""No sólo eso, si completas los retos<br>también aumentará el número de objetos que podrás llevarte al final de la simulación!"""
skit04#0,"""¡Hola! Gracias por venir. Me llamo Karin!"""
skit05#0,"""Te han dado la oportunidad de participar en está Extreme quest.<br>¡Nos veremos mucho el uno al otro!"""
skit06#0,"""¡Ohohoho!<br>Por favor, vaya al teletransportador.<br>¡Aquí es donde comienza la diversión!"""
skit07#0,"""Es implacable el grado de<br>dificultad a primera vista.<br>Pero si logras completar los obetivos,<br>se cambian los datos de reproducción<br>y, ¡Los enemigos se debilitaran!"""
