LightRain_IncidentName#0,"""Evitar el diluvio radiante!"""
LightRain_TrialBeginMsg#0,"""Evitar el diluvio radiante!"""
LightRain_TrialAbstract#0,"""Evitar la radiacion hasta que se agote el tiempo.<br>Fallan si son golpeados por $(0) o mas ataques."""
FaceBeam_IncidentName#0,"""Evitar el laser Infernal!"""
FaceBeam_TrialBeginMsg#0,"""Evitar el laser Infernal!"""
FaceBeam_TrialAbstract#0,"""Evitar las llamas hasta que se agote el tiempo.<br>Fallan si golpeados por $(0) o mas ataques."""
AttackWave_IncidentName#0,"""Evitar el tsunamis de energia!"""
AttackWave_TrialBeginMsg#0,"""Evitar el tsunamis de energia!"""
AttackWave_TrialAbstract#0,"""No ser golpeado por $(0) o mas tsunamis de energia."""
LightRain_NpcComOnBegin#0,"""Se ha detectado en el pecho de Magatsu una acumulacion de energia.<br>Cuidado con el proximo diluvio radiante."""
LightRain_NpcComOnBegin2#0,"""Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
LightRain_NpcComOnSuccess#0,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#0,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#0,"""Se detecta una fuente de calor<br>extrema dentro de Magatsu y sus innumerables caras.<br>Cuidate de sus ataques."""
FaceBeam_NpcComOnBegin2#0,"""Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces<Black>.Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
FaceBeam_NpcComOnSuccess#0,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#0,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#0,"""Detecto acumulaciones de energia en las manos de Magatsu.<br>Les recomiendo buscar refugio<br>detras de las paredes de la zona."""
AttackWave_NpcComOnBegin2#0,"""Un ataque masivo esta por realizarse.<br>Todo el mundo, en guardia."""
AttackWave_NpcComOnSuccess#0,"""Confirmo la desaparicion de la reaccion energetica.<br>Situacion de daño, de menor importancia.<br>Todos sigan luchando"""
AttackWave_NpcComOnFailure#0,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#1,"""Detectada en el pecho de Magatsu una acumulacion de energia.<br>Cuidado con la lluvia de energia radiante."""
LightRain_NpcComOnBegin2#1,"""Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
LightRain_NpcComOnSuccess#1,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#1,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#1,"""Se detecta una fuente de calor<br>extrema dentro de Magatsu y sus innumerables caras.<br>Cuidate de sus ataques."""
FaceBeam_NpcComOnBegin2#1,"""Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces<Black>.Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
FaceBeam_NpcComOnSuccess#1,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#1,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#1,"""Detecto acumulaciones de energia en las manos de Magatsu.<br>Les recomiendo buscar refugio<br>detras de las paredes de la zona."""
AttackWave_NpcComOnBegin2#1,"""Un ataque masivo esta por realizarse.<br>Todo el mundo tenga cuidado."""
AttackWave_NpcComOnSuccess#1,"""Confirmo la desaparicion de la reaccion energetica.<br>Situacion de daño, de menor importancia.<br>Todos sigan luchando"""
AttackWave_NpcComOnFailure#1,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#2,"""Detectada en el pecho de Magatsu una acumulacion de energia.<br>Cuidado con la lluvia de energia radiante."""
LightRain_NpcComOnBegin2#2,"""Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
LightRain_NpcComOnSuccess#2,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#2,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#2,"""Se detecta una fuente de calor<br>extrema dentro de Magatsu y sus innumerables caras.<br>Cuidate de sus ataques."""
FaceBeam_NpcComOnBegin2#2,"""Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces<Black>.Recomendamos adoptar medidas de evasion, par evitar ser golpeados $(0) o mas veces."""
FaceBeam_NpcComOnSuccess#2,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#2,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#2,"""Detecto acumulaciones de energia en las manos de Magatsu.<br>Les recomiendo buscar refugio<br>detras de las paredes de la zona."""
AttackWave_NpcComOnBegin2#2,"""Un ataque masivo esta por realizarse.<br>Todo el mundo tenga cuidado."""
AttackWave_NpcComOnSuccess#2,"""Confirmo la desaparicion de la reaccion energetica.<br>Situacion de daño, de menor importancia.<br>Todos sigan luchando"""
AttackWave_NpcComOnFailure#2,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
LightRain_NpcComOnBegin#3,"""Detectada en el pecho de Magatsu una acumulacion de energia.<br>Cuidado con la lluvia de energia radiante."""
LightRain_NpcComOnBegin2#3,"""Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces <Black>."""
LightRain_NpcComOnSuccess#3,"""エネルギー波の停止を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
LightRain_NpcComOnFailure#3,"""/face4 エネルギー波の停止を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
FaceBeam_NpcComOnBegin#3,"""Se detecta una fuente de calor<br>extrema dentro de Magatsu y sus innumerables caras.<br>Cuidate de sus ataques."""
FaceBeam_NpcComOnBegin2#3,"""Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces<Black>.Recomendamos tomar acciones de evasion. <red>evite ser golpeado $(0) o mas veces <Black>."""
FaceBeam_NpcComOnSuccess#3,"""熱源の沈静化を確認。<br>被害状況、軽微。<br>各員、『禍津』との戦闘継続を。"""
FaceBeam_NpcComOnFailure#3,"""/face4 熱源の沈静化を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
AttackWave_NpcComOnBegin#3,"""Detecto acumulaciones de energia en las manos de Magatsu.<br>Les recomiendo buscar refugio<br>detras de las paredes de la zona."""
AttackWave_NpcComOnBegin2#3,"""Un ataque masivo esta por realizarse.<br>Todo el mundo tenga cuidado."""
AttackWave_NpcComOnSuccess#3,"""Confirmo la desaparicion de la reaccion energetica.<br>Situacion de daño, de menor importancia.<br>Todos sigan luchando"""
AttackWave_NpcComOnFailure#3,"""/face4 高エネルギー反応の消失を確認。<br>被害状況、甚大。<br>各員、態勢を立て直し、戦闘継続を。"""
