name01#0,"""サラ"""
name02#0,"""カブラカン"""
name03#0,"""クラリスクレイス"""
skit01#0,"""/ci1 1 Bueno...<br>Esto es la información...<br>Pero está fragmentada y no se puede leer."""
skit02#0,"""/ci1 1 Puede ser posible recopilar datos de otra terminales. Busquemos terminales operativas."""
skit01#1,"""Bueno...<br>Esto es la información...<br>Pero está fragmentada y no se puede leer."""
skit02#1,"""Puede ser posible recopilar datos de otra terminales. Busquemos terminales operativas."""
skit01#2,"""/ci1 1 ...... La información sobre está terminal parece estár operativa.<br>Este parece ser el segundo dato."""
skit02#2,"""/ci1 1 Considerando la cantidad de información, son un total de cinco fragmentos.<br>En otras palabras, tenemos tres."""
skit01#3,"""...... La información sobre está terminal parece estár operativa.<br>Este parece ser el segundo dato."""
skit02#3,"""Considerando la cantidad de información, son un total de cinco fragmentos.<br>En otras palabras, tenemos tres."""
skit01#4,"""/ci1 1 Parece que la información sobre está terminal también está operativa. Dejemos el análisis a Xiao y buscaremos el resto."""
skit01#5,"""Parece que la información sobre está terminal también está operativa. Dejemos el análisis a Xiao y buscaremos el resto."""
skit01#6,"""/ci1 1 ...... Inteligencia, concesión, remodelación, pueblos indígenas. Es fragmentario, pero puedo ver mucha información. Esto parece ser un éxito."""
skit02#4,"""/ci1 1 Este es el cuarto... Uno más. Es la información es delicada pero tengo que exponerlo correctamente."""
skit01#7,"""...... Inteligencia, concesión, remodelación, pueblos indígenas. Es fragmentario, pero puedo ver mucha información. Esto parece ser un éxito."""
skit02#5,"""Este es el cuarto... Uno más. Es la información es delicada pero tengo que exponerlo correctamente."""
skit01#8,"""/ci1 1 Está es la información del último fragmento.<br>Experimentos, temas y palabras desagradables están volando alrededor."""
skit02#6,"""/ci1 1 De todos modos, esto debería ser suficiente. Xiao se encargara del resto."""
skit03#0,"""/ci1 1 ¡Oye!, ¡Hay algo!, ¡Puedo ver algo como una terminal!"""
skit04#0,"""/ci1 1 Todavía puede haber alguna información.<br>Vamos."""
skit01#9,"""Esta es la información del último fragmento.<br>Experimentos, temas y palabras desagradables están volando alrededor."""
skit02#7,"""De todos modos, esto debería ser suficiente. Xiao se encargara del resto."""
skit03#1,"""¡Oye!, ¡Hay algo!, ¡Puedo ver algo como una terminal!"""
skit04#1,"""Todavía puede haber alguna información.<br>Vamos."""
skit01#10,"""Cuatro fragmentos mas de información!"""
skit02#8,"""Tres fragmentos mas de información!！"""
skit03#2,"""Dos fragmentos mas de información!"""
skit04#2,"""Una fragmentos mas de información!"""
