name_7717#0,"""Бивари"""
ssn_014630_0001#0,"""Слушай-слушай!<br>Мне надо с тобой поговорить."""
ssn_014630_0002#0,"""Ты же не занят(а), да?"""
ssn_014630_0201#0,"""Знаешь, думаю, что ты<br>сможешь пройти Тринитес."""
ssn_014630_0202#0,"""Я буду болеть за тебя!<br>Покажи на что способен(на)!"""
ssn_014630_0203#0,"""А, вот что...<br>Ну, скажи мне, если передумаешь."""
ssn_014630_0301#0,"""О! У тебя получилось!<br>Прям респект тебе."""
ssn_014630_0302#0,"""Хорошо! Я тоже приложу все силы,<br>чтобы хоть немного нагнать тебя."""
ssn_014630_0401#0,"""А?.. Чего?.. Ты уже прошёл(ла)?<br>Ты чего, надо было сразу сказать."""
ssn_014630_0402#0,"""Но слушай, ты потрясающий(ая).<br>Прям респект тебе."""
ssn_014630_0403#0,"""Хорошо! Я тоже приложу все силы,<br>чтобы хоть немного нагнать тебя."""
ssn_014630_0501#0,"""А ты и правда потрясающий(ая).<br>Прям респект тебе."""
ssn_014630_0502#0,"""Хорошо! Я тоже приложу все силы,<br>чтобы хоть немного нагнать тебя."""
