name_7717#0,"""Бивари"""
ssn_014620_0001#0,"""У меня есть друг, который залезает наверх.<br>Говорит, что от туда открывается хороший вид."""
ssn_014620_0002#0,"""Думаю, я мог бы попасть туда через<br>другой вход, но, пожалуй, откажусь."""
ssn_014620_0003#0,"""Почему?.. Ну знаешь...<br>Потому что страхово!"""
ssn_014620_0101#0,"""Слушай, видишь то большое здание к северо-востоку отсюда?<br>Та штука с острой верхушкой."""
ssn_014620_0102#0,"""Тебе известно, что это такое?"""
ssn_014620_0103#0,"""Это Тринитес, особый вид Трениа."""
ssn_014620_0104#0,"""Почему бы тебе не попробовать свои силы?<br>Ну, если бы ты был(а) не готов(а),<br>я бы не стал советовать."""
ssn_014620_0201#0,"""Чего? Мы не пойдём к Тринитес?"""
ssn_014620_0202#0,"""Ясно. Пожалуй, воздержусь."""
ssn_014620_0203#0,"""Почему?.. Ну знаешь...<br>Потому что страхово!"""
ssn_014620_0301#0,"""Не собираешься идти? Тогда потом,<br>когда у тебя появится время."""
ssn_014620_0401#0,"""О-о! Ай да молодец. Это было круто."""
ssn_014620_0402#0,"""Мне стоит последовать твоему примеру и тоже прилагать<br>много усилий. Надеюсь, однажды я смогу тренироваться там."""
ssn_014620_0501#0,"""А?.. Чего?.. Ты уже был(а) в Тринитес?<br>Ты чего, надо было сразу сказать."""
ssn_016420_0601#0,"""Но, это похвально. Мне стоит последовать<br>твоему примеру и тоже прилагать много усилий."""
ssn_014620_0602#0,"""Надеюсь, однажды я смогу тренироваться там."""
