Title#0,"""T:Requiem of The Specter's Grudge"""
Explanation#0,"""We're once again detecting [Persona]<br>readings within the altered space it created.<br>It seems that its residual grudge against us<br>formed a new body after it was defeated.<br>If left alone, it'll destroy the entire universe.<br>All ARKS, move to intercept!<br>――――――――――――――――――――<br>Max Damage Cap: 999999<br>Failure: Fail objective, time limit expires"""
SimpleExplanation#0,"""Defeat Dark Falz Persona!"""
NpcComMsg1#0,"""The operation begins here.<br>Our objective is to enter<br>the altered space and<br>destroy Dark Falz Persona."""
NpcComMsg2#0,"""It aims to destroy the entire universe...<br>Let's combine all the powers of ARKS<br>and stop it right here, right now!"""
Area0S#0,"""[Persona]'s Signal Location"""
Area0L#0,"""Oracle Universe: [Persona]'s Signal Location"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
